Sample,Sample_Details,Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Name_Details_Gene,Cell_Type,Gene,Rep,qPCR_Sample_Name,qPCR_Name,qPCR_Date,qPCR_Researcher,CT,qPCR_Efficiency,Control_Ct_Mean_GAPDH_iPSC,EdeltadeltaCt_GAPDH_iPSC,Control_Ct_Mean_GAPDH_MSC,EdeltadeltaCt_GAPDH_MSC,Control_Ct_Mean_GUSB_iPSC,EdeltadeltaCt_GUSB_iPSC,Control_Ct_Mean_GUSB_MSC,EdeltadeltaCt_GUSB_MSC,Control_Ct_Mean_GAPDHandGUSB_iPSC,EdeltadeltaCt_GAPDHandGUSB_iPSC,Control_Ct_Mean_GAPDHandGUSB_MSC,EdeltadeltaCt_GAPDHandGUSB_MSC
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - GAPDH,Chondrogenic,GAPDH,,H1Cr2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,24.65151215,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - GAPDH,Chondrogenic,GAPDH,,H1Cr2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,24.84832382,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - GAPDH,Osteogenic,GAPDH,,H1Or2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,16.56768417,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - GAPDH,Osteogenic,GAPDH,,H1Or2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,15.80082512,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - GAPDH,Osteogenic,GAPDH,,H1Or2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,15.87297058,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - GAPDH,iPSC,GAPDH,,H1Ir2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,17.25078583,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - GAPDH,iPSC,GAPDH,,H1Ir2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,16.59169388,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - GAPDH,iPSC,GAPDH,,H1Ir2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,16.0543766,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - GAPDH,MSC,GAPDH,,H1Mr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,17.21469307,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - GAPDH,MSC,GAPDH,,H1Mr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,15.41902256,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - GAPDH,MSC,GAPDH,,H1Mr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,15.25375271,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - GAPDH,Adipogenic,GAPDH,,H1Ar2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,17.29329872,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - GAPDH,Adipogenic,GAPDH,,H1Ar2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,14.96693611,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - GAPDH,Adipogenic,GAPDH,,H1Ar2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,15.20389748,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - GAPDH,Chondrogenic,GAPDH,,H1Cr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,24.08473969,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - GAPDH,Chondrogenic,GAPDH,,H1Cr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,24.4943943,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - GAPDH,Chondrogenic,GAPDH,,H1Cr2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,25.33425903,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - GAPDH,Osteogenic,GAPDH,,H1Or2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,17.66161537,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - GAPDH,Osteogenic,GAPDH,,H1Or2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,17.39250565,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample Osteogenic,Human,Human Osteogenic,H1-r2,H1-r2 Osteogenic,H23555,H23555 Osteogenic,H23555 Osteogenic - GAPDH,Osteogenic,GAPDH,,H1Or2,study-collection-qPCR-H1r - plate2,10/28/2020,Emilie Briscoe,16.87314034,1.93,16.63228544,,15.96248945,,16.63228544,,15.96248945,,16.63228544,,15.96248945,
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - GAPDH,iPSC,GAPDH,1,H2I2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,15.28123283,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - GAPDH,iPSC,GAPDH,2,H2I2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,14.69679546,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - GAPDH,iPSC,GAPDH,3,H2I2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,14.99205208,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - GAPDH,MSC,GAPDH,1,H2M2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,13.37724972,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - GAPDH,MSC,GAPDH,2,H2M2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,12.64243984,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - GAPDH,MSC,GAPDH,3,H2M2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,13.00486946,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - GAPDH,Adipogenic,GAPDH,1,H2A2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,14.60408306,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - GAPDH,Adipogenic,GAPDH,2,H2A2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,14.51248169,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - GAPDH,Adipogenic,GAPDH,3,H2A2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,14.75319386,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - GAPDH,Chondrogenic,GAPDH,1,H2C2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,18.82377243,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - GAPDH,Chondrogenic,GAPDH,2,H2C2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,18.90291786,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - GAPDH,Chondrogenic,GAPDH,3,H2C2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,18.97642136,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - GAPDH,Osteogenic,GAPDH,1,H2O2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,16.96316719,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - GAPDH,Osteogenic,GAPDH,2,H2O2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,14.86762333,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - GAPDH,Osteogenic,GAPDH,3,H2O2,study-collection-qPCR-H2 - plate1,7/28/2020,Emilie Briscoe,15.31224251,2.03,14.99002679,,13.00818634,,14.99002679,,13.00818634,,14.99002679,,13.00818634,
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - GAPDH,iPSC,GAPDH,1,H2I2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,16.55821419,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - GAPDH,iPSC,GAPDH,2,H2I2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,15.40383434,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample iPSC,Human,Human iPSC,H2,H2 iPSC,H20157,H20157 iPSC,H20157 iPSC - GAPDH,iPSC,GAPDH,3,H2I2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,15.60964298,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - GAPDH,MSC,GAPDH,1,H2M2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,15.45001602,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - GAPDH,MSC,GAPDH,2,H2M2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,15.36229706,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample MSC,Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,H20157 MSC - GAPDH,MSC,GAPDH,3,H2M2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,15.44006157,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - GAPDH,Adipogenic,GAPDH,1,H2A2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,16.2401123,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - GAPDH,Adipogenic,GAPDH,2,H2A2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,15.99919128,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Adipogenic,Human,Human Adipogenic,H2,H2 Adipogenic,H20157,H20157 Adipogenic,H20157 Adipogenic - GAPDH,Adipogenic,GAPDH,3,H2A2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,16.33054161,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - GAPDH,Chondrogenic,GAPDH,1,H2C2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,20.44487572,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - GAPDH,Chondrogenic,GAPDH,2,H2C2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,19.69429779,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H2,H2 Chondrogenic,H20157,H20157 Chondrogenic,H20157 Chondrogenic - GAPDH,Chondrogenic,GAPDH,3,H2C2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,19.74742889,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - GAPDH,Osteogenic,GAPDH,1,H2O2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,18.306633,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - GAPDH,Osteogenic,GAPDH,2,H2O2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,16.8154583,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample Osteogenic,Human,Human Osteogenic,H2,H2 Osteogenic,H20157,H20157 Osteogenic,H20157 Osteogenic - GAPDH,Osteogenic,GAPDH,3,H2O2,study-collection-qPCR-H2 - plate2,7/30/2020,Emilie Briscoe,16.84601402,2.01,15.8572305,,15.41745822,,15.8572305,,15.41745822,,15.8572305,,15.41745822,
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - GAPDH,iPSC,GAPDH,1,H3I2,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.90824509,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - GAPDH,iPSC,GAPDH,2,H3I2,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.15834045,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - GAPDH,iPSC,GAPDH,3,H3I2,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.03104782,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample MSC,Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,H28126 MSC - GAPDH,MSC,GAPDH,1,H3M1,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,17.03059196,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample MSC,Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,H28126 MSC - GAPDH,MSC,GAPDH,2,H3M1,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.17007828,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample MSC,Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,H28126 MSC - GAPDH,MSC,GAPDH,3,H3M1,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,15.78108692,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample Adipogenic,Human,Human Adipogenic,H3,H3 Adipogenic,H28126,H28126 Adipogenic,H28126 Adipogenic - GAPDH,Adipogenic,GAPDH,1,H3A1,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,17.97579575,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample Adipogenic,Human,Human Adipogenic,H3,H3 Adipogenic,H28126,H28126 Adipogenic,H28126 Adipogenic - GAPDH,Adipogenic,GAPDH,2,H3A1,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.51005745,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample Adipogenic,Human,Human Adipogenic,H3,H3 Adipogenic,H28126,H28126 Adipogenic,H28126 Adipogenic - GAPDH,Adipogenic,GAPDH,3,H3A1,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.1258297,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample Osteogenic,Human,Human Osteogenic,H3,H3 Osteogenic,H28126,H28126 Osteogenic,H28126 Osteogenic - GAPDH,Osteogenic,GAPDH,1,H3O2,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.93977928,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample Osteogenic,Human,Human Osteogenic,H3,H3 Osteogenic,H28126,H28126 Osteogenic,H28126 Osteogenic - GAPDH,Osteogenic,GAPDH,2,H3O2,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,16.06515694,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample Osteogenic,Human,Human Osteogenic,H3,H3 Osteogenic,H28126,H28126 Osteogenic,H28126 Osteogenic - GAPDH,Osteogenic,GAPDH,3,H3O2,study-collection-qPCR-H3 - plate1,8/26/2020,Emilie Briscoe,15.43105984,2.18,16.36587779,,16.32725239,,16.36587779,,16.32725239,,16.36587779,,16.32725239,
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - GAPDH,iPSC,GAPDH,1,H3I2,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,16.75115204,2.16,16.6596667,,16.70986112,,16.6596667,,16.70986112,,16.6596667,,16.70986112,
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - GAPDH,iPSC,GAPDH,2,H3I2,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,16.63136864,2.16,16.6596667,,16.70986112,,16.6596667,,16.70986112,,16.6596667,,16.70986112,
Sample,Sample iPSC,Human,Human iPSC,H3,H3 iPSC,H28126,H28126 iPSC,H28126 iPSC - GAPDH,iPSC,GAPDH,3,H3I2,study-collection-qPCR-H3 - plate2,8/28/2020,Emilie Briscoe,16.59647942,2.16,16.6596667,,16.70986112,,16.6596667,,16.70986112,,16.6596667,,16.70986112,
