,refsnp_id,ensembl_gene_stable_id
132,rs10511323,ENSG00000144857
133,rs10513799,ENSG00000156931
134,rs10050189,
135,rs10517367,ENSG00000109265
136,rs10517658,ENSG00000145431
137,rs10518406,ENSG00000138685
138,rs10519725,ENSG00000164164
139,rs10519725,ENSG00000164163
140,rs10933904,
141,rs10935070,ENSG00000163781
142,rs10939460,
143,rs10939485,
144,rs11545169,ENSG00000175166
145,rs11100870,ENSG00000285713
146,rs11100870,ENSG00000164162
147,rs11100904,
148,rs11708067,ENSG00000173175
149,rs11917612,ENSG00000114861
150,rs11917612,ENSG00000285708
151,rs11722503,
152,rs11722554,ENSG00000170891
153,rs11919195,ENSG00000088538
154,rs11919556,ENSG00000177311
155,rs11725821,ENSG00000185049
156,rs11709171,ENSG00000157388
157,rs11713310,ENSG00000168297
158,rs11715566,
159,rs11716445,ENSG00000067560
160,rs11717152,ENSG00000179348
161,rs11717152,LRG_295
162,rs11924537,ENSG00000242120
163,rs11727676,ENSG00000164161
164,rs11727676,ENSG00000285713
165,rs11730169,ENSG00000196526
166,rs11734376,ENSG00000151718
167,rs12488684,ENSG00000160145
168,rs10937325,
169,rs12636352,ENSG00000073792
170,rs11941589,
171,rs11941723,
172,rs11944380,ENSG00000145375
173,rs12491199,ENSG00000151090
174,rs11930385,ENSG00000151612
175,rs12494976,
176,rs12497585,ENSG00000181722
177,rs12508545,ENSG00000109339
178,rs12513181,ENSG00000170917
179,rs12641279,ENSG00000169435
180,rs12642612,
181,rs12643353,ENSG00000151718
182,rs1069,
183,rs1018148,ENSG00000166147
184,rs1018148,LRG_778
185,rs1019668,ENSG00000156218
186,rs1042631,ENSG00000157766
187,rs1043374,ENSG00000140450
188,rs1044581,ENSG00000103855
189,rs1004982,ENSG00000137869
190,rs1023682,ENSG00000173065
191,rs1044486,ENSG00000055483
192,rs1053578,ENSG00000181513
193,rs1078334,ENSG00000141556
194,rs1078334,ENSG00000278759
195,rs11629695,
196,rs11631351,ENSG00000138592
197,rs10162848,
198,rs10454692,ENSG00000137814
199,rs10520597,ENSG00000170776
200,rs11072383,ENSG00000140463
201,rs11073783,ENSG00000173867
202,rs11073783,ENSG00000140543
203,rs11073953,ENSG00000197299
204,rs11073953,LRG_20
205,rs11247253,ENSG00000154237
206,rs11650043,
207,rs11650918,ENSG00000141298
208,rs11853786,
209,rs11853853,ENSG00000137834
210,rs11854504,
211,rs11654010,
212,rs11654523,ENSG00000141298
213,rs11654879,ENSG00000108950
214,rs11856909,ENSG00000166949
215,rs11857093,ENSG00000066933
216,rs11655306,
217,rs11655449,ENSG00000167193
218,rs11655449,
219,rs11655966,ENSG00000168646
220,rs11655966,LRG_296
221,rs11858490,ENSG00000140479
222,rs11657101,ENSG00000146872
223,rs11658048,ENSG00000277258
224,rs11658048,ENSG00000278644
225,rs12050871,ENSG00000137764
226,rs11867479,ENSG00000153822
227,rs12438343,ENSG00000081014
228,rs12440667,ENSG00000129038
229,rs12450049,
230,rs12450371,ENSG00000132386
231,rs12450371,ENSG00000282307
232,rs12450995,ENSG00000108510
233,rs12443108,ENSG00000179335
234,rs12453001,ENSG00000141568
235,rs12592845,
236,rs12592987,
237,rs12708583,
238,rs12937306,ENSG00000154240
239,rs12899457,
240,rs11632783,
241,rs11633167,ENSG00000066933
242,rs11633371,ENSG00000157766
243,rs11150785,ENSG00000266074
244,rs11634106,
245,rs11635675,
246,rs11636199,ENSG00000169410
247,rs11637927,ENSG00000140463
248,rs11638600,ENSG00000156218
249,rs12940055,ENSG00000198909
250,rs12900395,ENSG00000140368
251,rs12900395,LRG_172
252,rs12940887,ENSG00000198740
253,rs12902002,
254,rs12903396,ENSG00000140470
255,rs12908753,ENSG00000157766
256,rs12950658,
257,rs12912439,
258,rs12914479,
259,rs12915039,ENSG00000166949
260,rs12916185,
261,rs12916207,
262,rs12917463,
263,rs10630,ENSG00000153395
264,rs10630,ENSG00000275079
265,rs1049728,ENSG00000173039
266,rs1138807,ENSG00000179241
267,rs1005502,
268,rs1050969,ENSG00000155090
269,rs1106607,ENSG00000164808
270,rs1021777,
271,rs1173727,
272,rs1005277,
273,rs1080639,ENSG00000108187
274,rs1171615,ENSG00000165449
275,rs1295893,ENSG00000148848
276,rs10732505,ENSG00000205035
277,rs10743108,ENSG00000166478
278,rs10765754,
279,rs10766473,
280,rs10500807,ENSG00000175868
281,rs10501821,
282,rs10502235,ENSG00000196914
283,rs10769190,
284,rs10769382,
285,rs10791504,ENSG00000137672
286,rs10792020,ENSG00000287725
287,rs10792020,ENSG00000162341
288,rs10793091,ENSG00000077514
289,rs10796819,
290,rs10830398,
291,rs10830443,ENSG00000110172
292,rs10831894,
293,rs10832008,
294,rs10832956,ENSG00000179119
295,rs10835657,
296,rs10838588,
297,rs10840115,ENSG00000166444
298,rs10892246,ENSG00000019144
299,rs10104528,ENSG00000104375
300,rs10109417,ENSG00000092964
301,rs11031940,ENSG00000186714
302,rs10110402,ENSG00000164808
303,rs10110525,
304,rs10282835,ENSG00000104375
305,rs10283100,ENSG00000136960
306,rs10086392,ENSG00000132549
307,rs10086392,LRG_351
308,rs10896138,
309,rs10088006,
310,rs10896578,ENSG00000183908
311,rs10896788,
312,rs10089384,
313,rs10898439,
314,rs10095540,
315,rs11021590,ENSG00000183340
316,rs10097605,ENSG00000171033
317,rs11022538,ENSG00000187079
318,rs11024110,ENSG00000166689
319,rs11166612,ENSG00000066827
320,rs11227596,ENSG00000173715
321,rs10503429,
322,rs10504652,
323,rs10504671,
324,rs11039244,ENSG00000165917
325,rs11039739,
326,rs10866898,
327,rs11214503,ENSG00000149294
328,rs10956416,
329,rs10958476,ENSG00000181690
330,rs11135743,ENSG00000130227
331,rs11136147,
332,rs1281991,
333,rs12155898,
334,rs12156014,ENSG00000169398
335,rs11560876,
336,rs12541381,ENSG00000066827
337,rs11600952,
338,rs11601590,ENSG00000033327
339,rs11603541,ENSG00000149716
340,rs11603991,
341,rs12546523,
342,rs11605263,
343,rs11228064,
344,rs1020044,
345,rs11228904,ENSG00000150244
346,rs1047014,ENSG00000172201
347,rs11231529,ENSG00000187612
348,rs11779459,ENSG00000178764
349,rs1051952,ENSG00000112041
350,rs11782541,ENSG00000175806
351,rs11782541,ENSG00000285250
352,rs1074766,
353,rs11236210,
354,rs11785591,
355,rs11985332,
356,rs11246624,
357,rs11263510,ENSG00000172927
358,rs1150579,
359,rs11990094,
360,rs1173416,
361,rs1196388,ENSG00000112699
362,rs11992096,ENSG00000066827
363,rs1204835,ENSG00000178425
364,rs1213366,
365,rs1265097,ENSG00000204538
366,rs1265097,ENSG00000204540
367,rs1265097,ENSG00000235487
368,rs1265097,ENSG00000224544
369,rs1265097,ENSG00000227246
370,rs1265097,ENSG00000233734
371,rs1265097,ENSG00000231094
372,rs1265097,ENSG00000234605
373,rs1265097,ENSG00000206459
374,rs1265097,ENSG00000206458
375,rs1265097,ENSG00000233439
376,rs1265097,ENSG00000232127
377,rs10069251,
378,rs10079416,
379,rs10037512,
380,rs12548378,
381,rs10040658,ENSG00000171604
382,rs12675390,ENSG00000153317
383,rs11827030,
384,rs10053096,ENSG00000049192
385,rs12680757,ENSG00000183117
386,rs10519693,ENSG00000113083
387,rs10519693,ENSG00000151304
388,rs10751539,ENSG00000148848
389,rs12417788,ENSG00000152270
390,rs12421128,
391,rs10780116,
392,rs12421762,ENSG00000167792
393,rs10805921,ENSG00000113273
394,rs10940469,
395,rs10787453,ENSG00000151532
396,rs10787476,ENSG00000148737
397,rs10942546,
398,rs10213832,ENSG00000113719
399,rs10447098,ENSG00000130449
400,rs10463782,
401,rs12294675,ENSG00000053918
402,rs12294675,LRG_287
403,rs12294675,ENSG00000282076
404,rs10740006,ENSG00000151150
405,rs10740130,ENSG00000185532
406,rs10740130,LRG_1135
407,rs10740308,
408,rs10515054,
409,rs11167790,ENSG00000113578
410,rs11242043,
411,rs10821592,
412,rs10823006,ENSG00000183230
413,rs10823149,ENSG00000138347
414,rs10823149,LRG_410
415,rs10826995,
416,rs10828466,
417,rs12681075,
418,rs12099131,
419,rs12146455,
420,rs12222197,ENSG00000283703
421,rs10057069,ENSG00000113389
422,rs12269901,
423,rs10060893,
424,rs11750568,
425,rs11954311,
426,rs11954548,
427,rs10994064,ENSG00000108091
428,rs11959305,ENSG00000120708
429,rs10997909,ENSG00000185532
430,rs10997909,LRG_1135
431,rs10998344,ENSG00000138336
432,rs12055151,
433,rs12055154,ENSG00000165671
434,rs12055154,LRG_512
435,rs12109794,
436,rs12152958,
437,rs11001286,
438,rs11001399,ENSG00000148655
439,rs12515303,
440,rs12519439,ENSG00000082068
441,rs12520209,ENSG00000132842
442,rs12520209,LRG_170
443,rs11014285,ENSG00000099256
444,rs11014382,
445,rs12523269,ENSG00000184838
446,rs12656216,ENSG00000145604
447,rs12657484,
448,rs11186679,
449,rs11187004,
450,rs11187115,ENSG00000138160
451,rs11188101,
452,rs12719151,
453,rs11191118,ENSG00000198408
454,rs11191275,
455,rs11191293,ENSG00000138111
456,rs11191393,ENSG00000166272
457,rs11191786,ENSG00000107957
458,rs11198820,
459,rs11198898,ENSG00000198873
460,rs11591635,
461,rs11593630,ENSG00000151893
462,rs11597203,
463,rs11598673,ENSG00000148843
464,rs11599750,ENSG00000120054
465,rs11812870,ENSG00000107902
466,rs12221107,ENSG00000138336
467,rs11245274,ENSG00000107902
468,rs12261792,ENSG00000148426
469,rs12263592,
470,rs12769080,ENSG00000148842
471,rs12771357,
472,rs12773990,
473,rs12256435,ENSG00000138160
474,rs12778613,ENSG00000107438
475,rs12779328,ENSG00000151468
476,rs12411515,
477,rs12411618,ENSG00000198060
478,rs12414929,ENSG00000150054
479,rs12571218,ENSG00000107679
480,rs10857472,ENSG00000177354
481,rs11738454,ENSG00000113448
482,rs11738854,ENSG00000049192
483,rs10881893,ENSG00000180628
484,rs10881900,ENSG00000180628
485,rs11740415,ENSG00000112964
486,rs10882728,ENSG00000177853
487,rs11741790,ENSG00000055163
488,rs10883887,ENSG00000107957
489,rs10883931,
490,rs11743851,ENSG00000158985
491,rs11744178,
492,rs11744267,
493,rs10887652,
494,rs11748980,
495,rs10457478,ENSG00000286215
496,rs10457839,ENSG00000111962
497,rs10458019,
498,rs10945541,ENSG00000130338
499,rs11755681,
500,rs11756587,ENSG00000122335
501,rs11757375,
502,rs11757795,
503,rs11962800,ENSG00000239264
504,rs11962800,ENSG00000259040
505,rs11965547,ENSG00000204385
506,rs11965547,ENSG00000231479
507,rs11965547,ENSG00000235336
508,rs11965547,ENSG00000228263
509,rs11965547,ENSG00000206338
510,rs11965547,ENSG00000206378
511,rs11965547,ENSG00000232180
512,rs11965547,ENSG00000229077
513,rs11970060,
514,rs11970421,
515,rs11970492,
516,rs12110525,
517,rs12175817,
518,rs11751157,ENSG00000111961
519,rs11751181,
520,rs11754450,ENSG00000124615
521,rs12193281,ENSG00000065609
522,rs12195057,
523,rs12198317,
524,rs12200040,
525,rs10948007,ENSG00000112576
526,rs10948007,LRG_998
527,rs10949183,
528,rs11156098,
529,rs12665526,
530,rs12523815,
531,rs12524250,ENSG00000112319
532,rs12526876,ENSG00000083123
533,rs12527523,
534,rs12527990,ENSG00000112146
535,rs12662272,ENSG00000196284
536,rs12662365,ENSG00000083123
537,rs12204714,ENSG00000091831
538,rs12204714,LRG_992
539,rs12206606,ENSG00000080546
540,rs12206717,ENSG00000130338
541,rs12208456,ENSG00000112773
542,rs12209871,ENSG00000118420
543,rs12211245,ENSG00000112541
544,rs12211255,ENSG00000118407
545,rs12213722,ENSG00000112763
546,rs12214804,
547,rs1000410,
548,rs1051419,ENSG00000101384
549,rs1051419,LRG_1191
550,rs1074683,ENSG00000101417
551,rs1075698,ENSG00000088325
552,rs1279683,ENSG00000089057
553,rs10485504,ENSG00000125970
554,rs10485509,ENSG00000101019
555,rs12481446,
556,rs1074576,ENSG00000196553
557,rs1107070,
558,rs1130214,ENSG00000142208
559,rs1130214,LRG_721
560,rs1168538,
561,rs1190545,ENSG00000196663
562,rs1253014,ENSG00000100592
563,rs11543239,ENSG00000214078
564,rs1290900,
565,rs1294555,ENSG00000165914
566,rs1043542,ENSG00000100605
567,rs1043542,ENSG00000274958
568,rs1057035,ENSG00000100697
569,rs1057035,LRG_492
570,rs1057737,ENSG00000139977
571,rs10129213,
572,rs10131337,ENSG00000198807
573,rs10135315,
574,rs10140101,ENSG00000119681
575,rs10151805,
576,rs10220507,
577,rs10459573,ENSG00000075413
578,rs11158275,ENSG00000126773
579,rs11158820,ENSG00000198732
580,rs11159707,
581,rs11628379,
582,rs11629144,ENSG00000182185
583,rs11848279,ENSG00000100968
584,rs11848279,ENSG00000285485
585,rs11849518,ENSG00000171723
586,rs12147363,ENSG00000119685
587,rs12433610,ENSG00000150527
588,rs12435643,ENSG00000126777
589,rs11466414,ENSG00000119699
590,rs11466414,ENSG00000119650
591,rs11466414,LRG_399
592,rs11620822,ENSG00000020577
593,rs11621360,
594,rs11623920,
595,rs11624328,
596,rs11624351,ENSG00000139970
597,rs11625266,
598,rs1021268,
599,rs1050146,ENSG00000163017
600,rs1068548,
601,rs12878138,ENSG00000100592
602,rs12891613,ENSG00000100441
603,rs12895553,
604,rs1159965,
605,rs1250259,ENSG00000115414
606,rs1257022,ENSG00000168754
607,rs1260326,ENSG00000084734
608,rs10182181,
609,rs10184281,
610,rs10189857,ENSG00000119866
611,rs10198416,ENSG00000169604
612,rs10200024,ENSG00000226321
613,rs10203795,
614,rs10204733,ENSG00000049323
615,rs10205197,ENSG00000068784
616,rs10205435,ENSG00000035115
617,rs10206204,
618,rs10211501,
619,rs10211546,
620,rs10211665,ENSG00000116016
621,rs10490666,ENSG00000205221
622,rs10495709,ENSG00000118961
623,rs10496091,ENSG00000115464
624,rs10497854,ENSG00000155744
625,rs10803593,ENSG00000136731
626,rs10084197,
627,rs10169395,ENSG00000115355
628,rs10933529,ENSG00000122085
629,rs10933529,ENSG00000162804
630,rs10933548,ENSG00000115677
631,rs11674193,ENSG00000214595
632,rs11675297,ENSG00000277893
633,rs11675643,
634,rs11676142,ENSG00000136715
635,rs11676298,
636,rs11679294,
637,rs11692010,ENSG00000075568
638,rs11692385,
639,rs10172691,ENSG00000187736
640,rs10483138,ENSG00000180957
641,rs10483213,ENSG00000100162
642,rs10178069,
643,rs10178420,ENSG00000138092
644,rs10179429,ENSG00000055917
645,rs10181664,ENSG00000171055
646,rs12105433,ENSG00000119771
647,rs12233028,
648,rs12328732,ENSG00000115306
649,rs12464196,ENSG00000115310
650,rs12464787,ENSG00000155657
651,rs12464787,LRG_391
652,rs12465669,ENSG00000152527
653,rs12467963,
654,rs12470285,ENSG00000066248
655,rs12474201,
656,rs12475630,ENSG00000134330
657,rs12475630,ENSG00000151694
658,rs12475630,LRG_1203
659,rs12617665,
660,rs12623864,
661,rs12694696,
662,rs12694890,
663,rs12711538,ENSG00000074047
664,rs12713283,ENSG00000214595
665,rs12713362,ENSG00000084676
666,rs12988868,ENSG00000143952
667,rs12989189,ENSG00000115556
668,rs12990348,
669,rs12991228,ENSG00000143951
670,rs11896555,ENSG00000285005
671,rs11896555,ENSG00000178385
672,rs11896727,ENSG00000135636
673,rs11899353,
674,rs11900078,
675,rs12993099,ENSG00000155657
676,rs12993099,LRG_391
677,rs12993143,ENSG00000152253
678,rs12993143,ENSG00000163072
679,rs12993143,ENSG00000275326
680,rs12993143,ENSG00000277909
681,rs12996345,ENSG00000115652
682,rs12996789,
683,rs12999972,ENSG00000171132
684,rs13002603,
685,rs13007342,
686,rs13014679,ENSG00000249715
687,rs13015373,ENSG00000049323
688,rs11694765,ENSG00000049323
689,rs11892786,
690,rs1015670,ENSG00000104885
691,rs1017219,ENSG00000104848
692,rs1042164,ENSG00000160888
693,rs10405295,ENSG00000197360
694,rs10407394,ENSG00000160961
695,rs10408933,ENSG00000182087
696,rs10853981,
697,rs11259995,
698,rs11666603,
699,rs10415893,
700,rs10417482,
701,rs10418707,ENSG00000130816
702,rs10418707,LRG_362
703,rs10422017,ENSG00000267173
704,rs10422017,ENSG00000062370
705,rs12462204,
706,rs12462428,ENSG00000141979
707,rs12462428,ENSG00000268790
708,rs12462428,ENSG00000105085
709,rs12463215,ENSG00000072071
710,rs11673633,ENSG00000130382
711,rs11879644,ENSG00000196967
712,rs11879644,ENSG00000267360
713,rs11880706,ENSG00000087903
714,rs12973410,
715,rs12977189,ENSG00000066044
716,rs12982744,ENSG00000104885
717,rs1044598,ENSG00000142173
718,rs1044598,LRG_476
719,rs1155786,ENSG00000182670
720,rs12482821,
721,rs12482030,ENSG00000159256
722,rs1142,ENSG00000135250
723,rs12964,ENSG00000139192
724,rs12964,ENSG00000139190
725,rs11316,ENSG00000189143
726,rs1051547,ENSG00000103528
727,rs1052352,ENSG00000089280
728,rs1052352,LRG_655
729,rs1108064,ENSG00000204991
730,rs1126464,ENSG00000015413
731,rs1169644,
732,rs1027710,ENSG00000158169
733,rs1028653,
734,rs1034097,ENSG00000136925
735,rs1049927,ENSG00000136810
736,rs1025950,
737,rs1027569,ENSG00000178882
738,rs1038196,ENSG00000149948
739,rs1249741,ENSG00000196739
740,rs1257763,
741,rs1061657,ENSG00000135111
742,rs1157596,
743,rs1178164,ENSG00000048052
744,rs1207716,
745,rs1209001,ENSG00000127989
746,rs1148413,
747,rs1168754,ENSG00000228144
748,rs1168754,ENSG00000155957
749,rs1007358,
750,rs1023522,ENSG00000105855
751,rs1059698,
752,rs1065780,
753,rs1076218,ENSG00000105810
754,rs1076218,LRG_991
755,rs1106296,
756,rs10521261,
757,rs11643502,ENSG00000005187
758,rs11645475,ENSG00000166747
759,rs11648894,ENSG00000158717
760,rs12325419,ENSG00000157349
761,rs12325419,ENSG00000261777
762,rs12325419,ENSG00000260537
763,rs10046853,
764,rs12447690,
765,rs10118818,ENSG00000148120
766,rs12598821,ENSG00000103381
767,rs12709105,ENSG00000141012
768,rs10125155,
769,rs10219510,ENSG00000139219
770,rs12923579,
771,rs12924285,
772,rs10444553,ENSG00000139117
773,rs10441737,ENSG00000173258
774,rs12925781,
775,rs10492365,
776,rs10492367,
777,rs12926158,ENSG00000166246
778,rs12927044,ENSG00000182149
779,rs12929452,ENSG00000140836
780,rs12930876,ENSG00000184517
781,rs12930876,ENSG00000285178
782,rs10738445,ENSG00000173068
783,rs10746837,
784,rs10748128,
785,rs10770705,ENSG00000139155
786,rs10761129,ENSG00000169071
787,rs10761256,
788,rs10774623,
789,rs10821289,ENSG00000158079
790,rs10849094,ENSG00000010219
791,rs10869317,
792,rs10858975,
793,rs10859568,ENSG00000169372
794,rs10859570,ENSG00000169372
795,rs10860202,
796,rs10861149,ENSG00000166598
797,rs10861149,ENSG00000204954
798,rs10215742,
799,rs10963680,ENSG00000178031
800,rs10224307,ENSG00000155561
801,rs10778190,
802,rs10783856,
803,rs10785628,
804,rs10843167,ENSG00000123106
805,rs10817133,ENSG00000198121
806,rs10843390,ENSG00000087502
807,rs10818577,ENSG00000136848
808,rs10820860,
809,rs10820896,ENSG00000169071
810,rs10820973,ENSG00000188312
811,rs10965269,
812,rs10878992,
813,rs10229541,
814,rs10880868,ENSG00000139218
815,rs11046170,ENSG00000111716
816,rs10236884,
817,rs10978560,
818,rs10241908,
819,rs10980536,ENSG00000030304
820,rs11055034,ENSG00000178878
821,rs10982654,
822,rs11055880,
823,rs10246773,ENSG00000055130
824,rs10249071,
825,rs10251231,ENSG00000122507
826,rs10252635,
827,rs10253861,ENSG00000106415
828,rs10255497,ENSG00000006468
829,rs10992393,ENSG00000127080
830,rs11065286,ENSG00000157837
831,rs11065387,ENSG00000135100
832,rs11065387,LRG_522
833,rs11065539,ENSG00000089053
834,rs10993528,ENSG00000158169
835,rs11066320,ENSG00000179295
836,rs11066320,LRG_614
837,rs11103387,ENSG00000165661
838,rs10259672,ENSG00000128573
839,rs10260677,
840,rs11141741,
841,rs11107063,
842,rs11107116,
843,rs11107267,
844,rs10265077,ENSG00000106070
845,rs11144688,ENSG00000099139
846,rs11144742,ENSG00000099139
847,rs11144779,ENSG00000099139
848,rs10267271,
849,rs11111094,ENSG00000136048
850,rs10269774,ENSG00000105810
851,rs10269774,LRG_991
852,rs10270831,ENSG00000158560
853,rs10271133,ENSG00000055130
854,rs10274091,
855,rs10275439,ENSG00000106034
856,rs10278040,
857,rs11170394,ENSG00000167778
858,rs10278890,ENSG00000105810
859,rs10278890,LRG_991
860,rs10435018,ENSG00000146592
861,rs11175915,ENSG00000241749
862,rs11791015,
863,rs11792038,ENSG00000178031
864,rs11794759,ENSG00000196739
865,rs11794984,
866,rs11795106,ENSG00000147853
867,rs11795150,
868,rs11182473,
869,rs12001675,
870,rs12002061,
871,rs10954312,ENSG00000128585
872,rs10954398,ENSG00000106554
873,rs11503875,
874,rs11609996,
875,rs11556924,ENSG00000091732
876,rs11611847,ENSG00000173064
877,rs11612228,ENSG00000139044
878,rs12350646,ENSG00000158169
879,rs12350646,LRG_497
880,rs11764665,ENSG00000081803
881,rs11615917,
882,rs11830103,ENSG00000139697
883,rs11830336,ENSG00000123104
884,rs11767221,
885,rs11767454,ENSG00000146729
886,rs12550922,ENSG00000081377
887,rs12298258,ENSG00000155974
888,rs12300264,ENSG00000172572
889,rs12154695,ENSG00000105971
890,rs12154733,ENSG00000105855
891,rs12305743,ENSG00000067798
892,rs12305866,
893,rs12683427,
894,rs11974610,
895,rs12229872,ENSG00000123106
896,rs12534093,ENSG00000136231
897,rs12311494,ENSG00000172572
898,rs12313403,ENSG00000059758
899,rs12537414,ENSG00000198874
900,rs12317057,
901,rs12667261,
902,rs12669267,
903,rs12579123,ENSG00000089009
904,rs12812519,ENSG00000282873
905,rs12812519,ENSG00000110987
906,rs12813125,ENSG00000153233
907,rs12814300,
908,rs12672616,
909,rs12369173,
910,rs12674301,
911,rs12422370,
912,rs12423631,ENSG00000185684
913,rs12702297,
914,rs12425125,
915,rs12426782,ENSG00000155974
916,rs12824373,ENSG00000169372
917,rs12830406,
918,rs1722784,ENSG00000143412
919,rs1739843,ENSG00000173641
920,rs1781419,ENSG00000182134
921,rs1571466,ENSG00000169641
922,rs1572416,ENSG00000132694
923,rs164867,
924,rs212525,ENSG00000117298
925,rs239980,ENSG00000134369
926,rs2378017,
927,rs1842579,ENSG00000171502
928,rs1868992,ENSG00000014914
929,rs1938376,ENSG00000151414
930,rs2025607,
931,rs2072499,ENSG00000160785
932,rs2255707,ENSG00000197959
933,rs2275457,ENSG00000171621
934,rs2275767,ENSG00000127603
935,rs2284746,ENSG00000117122
936,rs2292989,ENSG00000084636
937,rs2297961,ENSG00000162836
938,rs2297976,ENSG00000117394
939,rs2297976,LRG_1132
940,rs2298265,ENSG00000143373
941,rs2135756,ENSG00000020633
942,rs2157541,ENSG00000152061
943,rs2219320,
944,rs2230659,ENSG00000132780
945,rs2239560,ENSG00000049239
946,rs1321666,ENSG00000065183
947,rs1327589,ENSG00000118733
948,rs1361823,ENSG00000162407
949,rs1397180,ENSG00000162814
950,rs1413227,ENSG00000188641
951,rs1413227,LRG_722
952,rs1472565,ENSG00000077549
953,rs16863369,
954,rs16864515,
955,rs17013645,ENSG00000092607
956,rs17038164,
957,rs17404435,ENSG00000116198
958,rs17497947,
959,rs17501512,
960,rs17520547,
961,rs17526679,
962,rs17551179,ENSG00000196660
963,rs17571465,
964,rs17646887,
965,rs17163588,ENSG00000175087
966,rs17303987,ENSG00000116147
967,rs17340752,ENSG00000198492
968,rs17350579,ENSG00000197959
969,rs17363646,ENSG00000122417
970,rs17369123,ENSG00000197959
971,rs17369123,ENSG00000135845
972,rs17387330,ENSG00000174332
973,rs17391694,
974,rs17393468,
975,rs17396340,ENSG00000054523
976,rs17396340,LRG_252
977,rs13376315,ENSG00000198756
978,rs16823193,
979,rs16829945,
980,rs16834765,
981,rs205004,ENSG00000073910
982,rs1395349,
983,rs1535468,
984,rs1326121,
985,rs1327651,ENSG00000186047
986,rs2407200,
987,rs2476391,
988,rs1924370,
