ensembl,gene,DE.iPSC
ENSG00000255173,AP003068.3,1
ENSG00000255455,AP003486.1,1
ENSG00000152056,AP1S3,1
ENSG00000196961,AP2A1,1
ENSG00000006125,AP2B1,1
ENSG00000161203,AP2M1,1
ENSG00000185009,AP3M1,1
ENSG00000070718,AP3M2,1
ENSG00000177879,AP3S1,1
ENSG00000157823,AP3S2,1
ENSG00000134262,AP4B1,1
ENSG00000221838,AP4M1,1
ENSG00000254470,AP5B1,1
ENSG00000125843,AP5S1,1
ENSG00000034053,APBA2,1
ENSG00000011132,APBA3,1
ENSG00000113108,APBB3,1
ENSG00000154856,APCDD1,1
ENSG00000198768,APCDD1L,1
ENSG00000164062,APEH,1
ENSG00000248329,APELA,1
ENSG00000138613,APH1B,1
ENSG00000149089,APIP,1
ENSG00000244509,APOBEC3C,1
ENSG00000128335,APOL2,1
ENSG00000214293,APTR,1
ENSG00000137074,APTX,1
ENSG00000165272,AQP3,1
ENSG00000078061,ARAF,1
ENSG00000186635,ARAP1,1
ENSG00000120318,ARAP3,1
ENSG00000143761,ARF1,1
ENSG00000168374,ARF4,1
ENSG00000101199,ARFGAP1,1
ENSG00000066777,ARFGEF1,1
ENSG00000124198,ARFGEF2,1
ENSG00000112379,ARFGEF3,1
ENSG00000164144,ARFIP1,1
ENSG00000101246,ARFRP1,1
ENSG00000081181,ARG2,1
ENSG00000165322,ARHGAP12,1
ENSG00000146376,ARHGAP18,1
ENSG00000107863,ARHGAP21,1
ENSG00000145819,ARHGAP26,1
ENSG00000186517,ARHGAP30,1
ENSG00000147256,ARHGAP36,1
ENSG00000147799,ARHGAP39,1
ENSG00000165895,ARHGAP42,1
ENSG00000006740,ARHGAP44,1
ENSG00000100852,ARHGAP5,1
ENSG00000074964,ARHGEF10L,1
ENSG00000196914,ARHGEF12,1
ENSG00000130762,ARHGEF16,1
ENSG00000104880,ARHGEF18,1
ENSG00000142632,ARHGEF19,1
ENSG00000116584,ARHGEF2,1
ENSG00000114790,ARHGEF26,1
ENSG00000183111,ARHGEF37,1
ENSG00000137135,ARHGEF39,1
ENSG00000129675,ARHGEF6,1
ENSG00000131089,ARHGEF9,1
ENSG00000196843,ARID5A,1
ENSG00000150347,ARID5B,1
ENSG00000169379,ARL13B,1
ENSG00000152219,ARL14EP,1
ENSG00000188042,ARL4C,1
ENSG00000175906,ARL4D,1
ENSG00000165997,ARL5B,1
ENSG00000177917,ARL6IP6,1
ENSG00000134108,ARL8B,1
ENSG00000118690,ARMC2,1
ENSG00000169126,ARMC4,1
ENSG00000114098,ARMC8,1
ENSG00000125962,ARMCX5,1
ENSG00000172379,ARNT2,1
ENSG00000029153,ARNTL2,1
ENSG00000241685,ARPC1A,1
ENSG00000241553,ARPC4,1
ENSG00000162704,ARPC5,1
ENSG00000242498,ARPIN,1
ENSG00000128989,ARPP19,1
ENSG00000137486,ARRB1,1
ENSG00000113273,ARSB,1
ENSG00000141337,ARSG,1
ENSG00000180801,ARSJ,1
ENSG00000164291,ARSK,1
ENSG00000214435,AS3MT,1
ENSG00000104763,ASAH1,1
ENSG00000151693,ASAP2,1
ENSG00000100628,ASB2,1
ENSG00000148331,ASB6,1
ENSG00000112249,ASCC3,1
ENSG00000105011,ASF1B,1
ENSG00000141505,ASGR1,1
ENSG00000110881,ASIC1,1
ENSG00000108684,ASIC2,1
ENSG00000213199,ASIC3,1
ENSG00000070669,ASNS,1
ENSG00000198363,ASPH,1
ENSG00000128203,ASPHD2,1
ENSG00000066279,ASPM,1
ENSG00000169696,ASPSCR1,1
ENSG00000130707,ASS1,1
ENSG00000152092,ASTN1,1
ENSG00000171456,ASXL1,1
ENSG00000119778,ATAD2B,1
ENSG00000176208,ATAD5,1
ENSG00000137343,ATAT1,1
ENSG00000167654,ATCAY,1
ENSG00000115966,ATF2,1
ENSG00000162772,ATF3,1
ENSG00000128272,ATF4,1
ENSG00000166669,ATF7IP2,1
ENSG00000123395,ATG101,1
ENSG00000085978,ATG16L1,1
ENSG00000066739,ATG2B,1
ENSG00000138363,ATIC,1
ENSG00000184743,ATL3,1
ENSG00000166454,ATMIN,1
ENSG00000111676,ATN1,1
ENSG00000206190,ATP10A,1
ENSG00000058063,ATP11B,1
ENSG00000075673,ATP12A,1
ENSG00000159363,ATP13A2,1
ENSG00000069849,ATP1B3,1
ENSG00000074370,ATP2A3,1
ENSG00000152234,ATP5F1A,1
ENSG00000110955,ATP5F1B,1
ENSG00000173915,ATP5MD,1
ENSG00000241468,ATP5MF,1
ENSG00000167863,ATP5PD,1
ENSG00000205464,ATP6AP1L,1
ENSG00000182220,ATP6AP2,1
ENSG00000033627,ATP6V0A1,1
ENSG00000117410,ATP6V0B,1
ENSG00000159720,ATP6V0D1,1
ENSG00000113732,ATP6V0E1,1
ENSG00000155097,ATP6V1C1,1
ENSG00000143882,ATP6V1C2,1
ENSG00000100554,ATP6V1D,1
ENSG00000250565,ATP6V1E2,1
ENSG00000081923,ATP8B1,1
ENSG00000123472,ATPAF1,1
ENSG00000138085,ATRAID,1
ENSG00000164053,ATRIP,1
ENSG00000107518,ATRNL1,1
ENSG00000085224,ATRX,1
ENSG00000066427,ATXN3,1
ENSG00000087152,ATXN7L3,1
ENSG00000127423,AUNIP,1
ENSG00000087586,AURKA,1
ENSG00000158321,AUTS2,1
ENSG00000169857,AVEN,1
ENSG00000105778,AVL9,1
ENSG00000119986,AVPI1,1
ENSG00000155096,AZIN1,1
ENSG00000253320,AZIN1-AS1,1
ENSG00000184809,B3GALT5-AS1,1
ENSG00000149541,B3GAT3,1
ENSG00000187676,B3GLCT,1
ENSG00000170340,B3GNT2,1
ENSG00000176383,B3GNT4,1
ENSG00000177191,B3GNT8,1
ENSG00000139044,B4GALNT3,1
ENSG00000158850,B4GALT3,1
ENSG00000121578,B4GALT4,1
ENSG00000027847,B4GALT7,1
ENSG00000156273,BACH1,1
ENSG00000112182,BACH2,1
ENSG00000166170,BAG5,1
ENSG00000153064,BANK1,1
ENSG00000138376,BARD1,1
ENSG00000131668,BARX1,1
ENSG00000176788,BASP1,1
ENSG00000198604,BAZ1A,1
ENSG00000181004,BBS12,1
ENSG00000140463,BBS4,1
ENSG00000138686,BBS7,1
ENSG00000187244,BCAM,1
ENSG00000185825,BCAP31,1
ENSG00000137936,BCAR3,1
ENSG00000116752,BCAS2,1
ENSG00000141376,BCAS3,1
ENSG00000186666,BCDIN3D,1
ENSG00000258057,BCDIN3D-AS1,1
ENSG00000248098,BCKDHA,1
ENSG00000103507,BCKDK,1
ENSG00000119866,BCL11A,1
ENSG00000171791,BCL2,1
ENSG00000121380,BCL2L14,1
ENSG00000161940,BCL6B,1
ENSG00000106635,BCL7B,1
ENSG00000099385,BCL7C,1
ENSG00000116128,BCL9,1
ENSG00000173681,BCLAF3,1
ENSG00000161267,BDH1,1
ENSG00000164039,BDH2,1
ENSG00000245573,BDNF-AS,1
ENSG00000126581,BECN1,1
ENSG00000188848,BEND4,1
ENSG00000162373,BEND5,1
ENSG00000151917,BEND6,1
ENSG00000167995,BEST1,1
ENSG00000135127,BICDL1,1
ENSG00000162069,BICDL2,1
ENSG00000015475,BID,1
ENSG00000110330,BIRC2,1
ENSG00000089685,BIRC5,1
ENSG00000134897,BIVM,1
ENSG00000166619,BLCAP,1
ENSG00000188428,BLOC1S5,1
ENSG00000125845,BMP2,1
ENSG00000204217,BMPR2,1
ENSG00000113734,BNIP1,1
ENSG00000178096,BOLA1,1
ENSG00000137274,BPHL,1
ENSG00000162813,BPNT1,1
ENSG00000106009,BRAT1,1
ENSG00000204256,BRD2,1
ENSG00000235106,BRD3OS,1
ENSG00000141867,BRD4,1
ENSG00000166164,BRD7,1
ENSG00000112983,BRD8,1
ENSG00000028310,BRD9,1
ENSG00000185024,BRF1,1
ENSG00000104221,BRF2,1
ENSG00000078725,BRINP1,1
ENSG00000156983,BRPF1,1
ENSG00000185658,BRWD1,1
ENSG00000168000,BSCL2,1
ENSG00000164061,BSN,1
ENSG00000226913,BSN-AS2,1
ENSG00000109743,BST1,1
ENSG00000064726,BTBD1,1
ENSG00000148925,BTBD10,1
ENSG00000151136,BTBD11,1
ENSG00000204347,BTBD17,1
ENSG00000145741,BTF3,1
ENSG00000124508,BTN2A2,1
ENSG00000026950,BTN3A1,1
ENSG00000137656,BUD13,1
ENSG00000106245,BUD31,1
ENSG00000082153,BZW1,1
ENSG00000237489,C10orf143,1
ENSG00000165863,C10orf82,1
ENSG00000119965,C10orf88,1
ENSG00000137720,C11orf1,1
ENSG00000110696,C11orf58,1
ENSG00000175573,C11orf68,1
ENSG00000137691,C11orf70,1
ENSG00000173715,C11orf80,1
ENSG00000111412,C12orf49,1
ENSG00000185306,C12orf56,1
ENSG00000182993,C12orf60,1
ENSG00000130921,C12orf65,1
ENSG00000204954,C12orf73,1
ENSG00000235162,C12orf75,1
ENSG00000227051,C14orf132,1
ENSG00000179476,C14orf28,1
ENSG00000179008,C14orf39,1
ENSG00000166780,C16orf45,1
ENSG00000185905,C16orf54,1
ENSG00000258315,C17orf49,1
ENSG00000178927,C17orf62,1
ENSG00000141219,C17orf80,1
ENSG00000166845,C18orf54,1
ENSG00000119559,C19orf25,1
ENSG00000188493,C19orf54,1
ENSG00000221916,C19orf73,1
ENSG00000197223,C1D,1
ENSG00000106392,C1GALT1,1
ENSG00000000460,C1orf112,1
ENSG00000182795,C1orf116,1
ENSG00000143633,C1orf131,1
ENSG00000215910,C1orf167,1
ENSG00000198912,C1orf174,1
ENSG00000142686,C1orf216,1
ENSG00000198520,C1orf228,1
ENSG00000143793,C1orf35,1
ENSG00000143612,C1orf43,1
ENSG00000164008,C1orf50,1
ENSG00000125462,C1orf61,1
ENSG00000142698,C1orf94,1
ENSG00000159403,C1R,1
ENSG00000139178,C1RL,1
ENSG00000182326,C1S,1
ENSG00000101220,C20orf27,1
ENSG00000160226,C21orf2,1
ENSG00000160221,C21orf33,1
ENSG00000160298,C21orf58,1
ENSG00000184208,C22orf46,1
ENSG00000225556,C2CD4D,1
ENSG00000168887,C2orf68,1
ENSG00000204128,C2orf72,1
ENSG00000228486,C2orf92,1
ENSG00000114405,C3orf14,1
ENSG00000181744,C3orf58,1
ENSG00000164096,C4orf3,1
ENSG00000205129,C4orf47,1
ENSG00000106804,C5,1
ENSG00000113583,C5orf15,1
ENSG00000082213,C5orf22,1
ENSG00000205765,C5orf51,1
ENSG00000164241,C5orf63,1
ENSG00000224186,C5orf66,1
ENSG00000196821,C6orf106,1
ENSG00000204564,C6orf136,1
ENSG00000203872,C6orf163,1
ENSG00000204439,C6orf47,1
ENSG00000153790,C7orf31,1
ENSG00000165084,C8orf34,1
ENSG00000156172,C8orf37,1
ENSG00000189376,C8orf76,1
ENSG00000253250,C8orf88,1
ENSG00000160345,C9orf116,1
ENSG00000164972,C9orf24,1
ENSG00000147894,C9orf72,1
ENSG00000136819,C9orf78,1
ENSG00000063180,CA11,1
ENSG00000185015,CA13,1
ENSG00000164879,CA3,1
ENSG00000169239,CA5B,1
ENSG00000168748,CA7,1
ENSG00000107159,CA9,1
ENSG00000120159,CAAP1,1
ENSG00000102547,CAB39L,1
ENSG00000149679,CABLES2,1
ENSG00000160325,CACFD1,1
ENSG00000141837,CACNA1A,1
ENSG00000006283,CACNA1G,1
ENSG00000196557,CACNA1H,1
ENSG00000153956,CACNA2D1,1
ENSG00000007402,CACNA2D2,1
ENSG00000151062,CACNA2D4,1
ENSG00000067191,CACNB1,1
ENSG00000167535,CACNB3,1
ENSG00000105298,CACTIN,1
ENSG00000116161,CACYBP,1
ENSG00000163618,CADPS,1
ENSG00000081803,CADPS2,1
ENSG00000110680,CALCA,1
ENSG00000136436,CALCOCO2,1
ENSG00000122786,CALD1,1
ENSG00000185933,CALHM1,1
ENSG00000138172,CALHM2,1
ENSG00000129007,CALML4,1
ENSG00000162545,CAMK2N1,1
ENSG00000163888,CAMK2N2,1
ENSG00000110931,CAMKK2,1
ENSG00000143919,CAMKMT,1
ENSG00000164076,CAMKV,1
ENSG00000118200,CAMSAP2,1
ENSG00000144712,CAND2,1
ENSG00000042493,CAPG,1
ENSG00000142330,CAPN10,1
ENSG00000137225,CAPN11,1
ENSG00000182472,CAPN12,1
ENSG00000162949,CAPN13,1
ENSG00000077274,CAPN6,1
ENSG00000135387,CAPRIN1,1
ENSG00000100065,CARD10,1
ENSG00000153048,CARHSP1,1
ENSG00000079691,CARMIL1,1
ENSG00000159753,CARMIL2,1
ENSG00000186648,CARMIL3,1
ENSG00000110619,CARS,1
ENSG00000166734,CASC4,1
ENSG00000249395,CASC9,1
ENSG00000138794,CASP6,1
ENSG00000118412,CASP8AP2,1
ENSG00000132906,CASP9,1
ENSG00000153113,CAST,1
ENSG00000130940,CASZ1,1
ENSG00000099338,CATSPERG,1
ENSG00000105971,CAV2,1
ENSG00000177469,CAVIN1,1
ENSG00000170681,CAVIN4,1
ENSG00000067955,CBFB,1
ENSG00000139899,CBLN3,1
ENSG00000160200,CBS,1
ENSG00000173894,CBX2,1
ENSG00000122565,CBX3,1
ENSG00000183741,CBX6,1
ENSG00000100211,CBY1,1
ENSG00000132024,CC2D1A,1
ENSG00000154222,CC2D1B,1
ENSG00000173581,CCDC106,1
ENSG00000168491,CCDC110,1
ENSG00000103021,CCDC113,1
ENSG00000007080,CCDC124,1
ENSG00000183323,CCDC125,1
ENSG00000164366,CCDC127,1
ENSG00000128596,CCDC136,1
ENSG00000185298,CCDC137,1
ENSG00000163492,CCDC141,1
ENSG00000135205,CCDC146,1
ENSG00000144395,CCDC150,1
ENSG00000198865,CCDC152,1
ENSG00000248712,CCDC153,1
ENSG00000187860,CCDC157,1
ENSG00000154479,CCDC173,1
ENSG00000122483,CCDC18,1
ENSG00000196118,CCDC189,1
ENSG00000223745,CCDC18-AS1,1
ENSG00000163617,CCDC191,1
ENSG00000159214,CCDC24,1
ENSG00000160050,CCDC28B,1
ENSG00000164051,CCDC51,1
ENSG00000176155,CCDC57,1
ENSG00000160124,CCDC58,1
ENSG00000108091,CCDC6,1
ENSG00000177352,CCDC71,1
ENSG00000120647,CCDC77,1
ENSG00000169515,CCDC8,1
ENSG00000091986,CCDC80,1
ENSG00000149201,CCDC81,1
ENSG00000149231,CCDC82,1
ENSG00000175602,CCDC85B,1
ENSG00000137500,CCDC90B,1
ENSG00000119242,CCDC92,1
ENSG00000125633,CCDC93,1
ENSG00000108691,CCL2,1
ENSG00000100814,CCNB1IP1,1
ENSG00000157456,CCNB2,1
ENSG00000112237,CCNC,1
ENSG00000166946,CCNDBP1,1
ENSG00000105173,CCNE1,1
ENSG00000175305,CCNE2,1
ENSG00000162063,CCNF,1
ENSG00000113328,CCNG1,1
ENSG00000224043,CCNT2-AS1,1
ENSG00000108100,CCNY,1
ENSG00000154429,CCSAP,1
ENSG00000184305,CCSER1,1
ENSG00000166226,CCT2,1
ENSG00000115484,CCT4,1
ENSG00000150753,CCT5,1
ENSG00000156261,CCT8,1
ENSG00000135535,CD164,1
ENSG00000174807,CD248,1
ENSG00000215039,CD27-AS1,1
ENSG00000198087,CD2AP,1
ENSG00000196776,CD47,1
ENSG00000143119,CD53,1
ENSG00000013725,CD6,1
ENSG00000137101,CD72,1
ENSG00000010278,CD9,1
ENSG00000102181,CD99L2,1
ENSG00000164045,CDC25A,1
ENSG00000101224,CDC25B,1
ENSG00000168438,CDC40,1
ENSG00000198752,CDC42BPB,1
ENSG00000171219,CDC42BPG,1
ENSG00000163171,CDC42EP3,1
ENSG00000167617,CDC42EP5,1
ENSG00000158985,CDC42SE2,1
ENSG00000093009,CDC45,1
ENSG00000096401,CDC5L,1
ENSG00000097046,CDC7,1
ENSG00000111665,CDCA3,1
ENSG00000170779,CDCA4,1
ENSG00000144354,CDCA7,1
ENSG00000134690,CDCA8,1
ENSG00000140937,CDH11,1
ENSG00000107736,CDH23,1
ENSG00000139880,CDH24,1
ENSG00000062038,CDH3,1
ENSG00000113361,CDH6,1
ENSG00000148600,CDHR1,1
ENSG00000103502,CDIPT,1
ENSG00000170312,CDK1,1
ENSG00000059758,CDK17,1
ENSG00000123374,CDK2,1
ENSG00000111328,CDK2AP1,1
ENSG00000101391,CDK5RAP1,1
ENSG00000105810,CDK6,1
ENSG00000134058,CDK7,1
ENSG00000136807,CDK9,1
ENSG00000006837,CDKL3,1
ENSG00000111276,CDKN1B,1
ENSG00000237190,CDKN2AIPNL,1
ENSG00000129355,CDKN2D,1
ENSG00000100526,CDKN3,1
ENSG00000064309,CDON,1
ENSG00000140743,CDR2,1
ENSG00000109089,CDR2L,1
ENSG00000163624,CDS1,1
ENSG00000167513,CDT1,1
ENSG00000091527,CDV3,1
ENSG00000131264,CDX4,1
ENSG00000153879,CEBPG,1
ENSG00000115816,CEBPZ,1
ENSG00000170835,CEL,1
ENSG00000048740,CELF2,1
ENSG00000145241,CENPC,1
ENSG00000117724,CENPF,1
ENSG00000100162,CENPM,1
ENSG00000175279,CENPS,1
ENSG00000102901,CENPT,1
ENSG00000169689,CENPX,1
ENSG00000154240,CEP112,1
ENSG00000168944,CEP120,1
ENSG00000110318,CEP126,1
ENSG00000100629,CEP128,1
ENSG00000141577,CEP131,1
ENSG00000174799,CEP135,1
ENSG00000135315,CEP162,1
ENSG00000099814,CEP170B,1
ENSG00000126001,CEP250,1
ENSG00000198707,CEP290,1
ENSG00000166004,CEP295,1
ENSG00000138180,CEP55,1
ENSG00000166037,CEP57,1
ENSG00000148019,CEP78,1
ENSG00000258890,CEP95,1
ENSG00000167123,CERCAM,1
ENSG00000147400,CETN2,1
ENSG00000163001,CFAP36,1
ENSG00000197748,CFAP43,1
ENSG00000120051,CFAP58,1
ENSG00000164323,CFAP97,1
ENSG00000165410,CFL2,1
ENSG00000126759,CFP,1
ENSG00000138028,CGREF1,1
