Gene.Symbol,Chromosome.GRCh38,Start.GRCh38,End.GRCh38,Strand.GRCh38,DE.Parental.iPSCs,DE.Hybrid.iPSCs,DE.Parental.CNCCs,DE.Hybrid.CNCCs
ABAT,chr16,8674587,8784575,+,1,0,0,1
ABCA1,chr9,104781002,104928246,-,1,1,0,0
ABCA10,chr17,69148007,69244815,-,0,0,0,0
ABCA11P,chr4,425435,474209,-,0,0,0,0
ABCA12,chr2,214931542,215138591,-,0,0,0,0
ABCA13,chr7,48171424,48647497,+,0,0,0,0
ABCA17P,chr16,2340922,2426699,+,0,0,0,0
ABCA2,chr9,137007234,137028922,-,0,0,0,0
ABCA3,chr16,2275878,2340746,-,1,1,0,0
ABCA4,chr1,93992837,94121149,-,0,0,0,0
ABCA5,chr17,69244435,69327182,-,1,1,0,1
ABCA6,chr17,69062044,69141927,-,0,0,0,0
ABCA7,chr19,1040103,1065572,+,0,1,0,0
ABCA8,chr17,68867285,68955426,-,0,0,0,0
ABCA9,chr17,68974632,69078978,-,0,0,0,1
ABCA9-AS1,chr17,69004714,69018323,+,0,0,0,0
ABCB1,chr7,87503863,87713323,-,0,1,0,1
ABCB10,chr1,229516582,229558988,-,1,0,0,0
ABCB10P1,chr15,23179882,23183659,+,0,0,0,0
ABCB10P3,chr15,28402865,28405228,+,0,0,0,0
ABCB10P4,chr15,28506430,28508793,-,0,0,0,0
ABCB11,chr2,168915468,169031396,-,0,0,0,0
ABCB4,chr7,87398988,87476722,-,1,0,1,0
ABCB5,chr7,20615622,20757014,+,0,0,0,0
ABCB6,chr2,219209766,219219017,-,1,1,1,1
ABCB7,chrX,75053280,75156340,-,0,0,0,0
ABCB8,chr7,151028422,151047782,+,0,0,0,0
ABCB9,chr12,122917324,122975160,-,1,0,0,0
ABCC1,chr16,15949577,16143074,+,1,1,0,0
ABCC10,chr6,43427538,43451994,+,0,1,0,0
ABCC11,chr16,48164842,48249973,-,0,0,0,0
ABCC12,chr16,48082973,48146770,-,0,0,0,0
ABCC13,chr21,14273799,14301386,+,0,0,0,0
ABCC2,chr10,99782598,99853741,+,0,0,0,0
ABCC3,chr17,50634843,50691704,+,1,1,0,0
ABCC4,chr13,95019829,95301446,-,1,1,0,0
ABCC5,chr3,183919934,184018010,-,0,0,0,0
ABCC5-AS1,chr3,184006338,184011419,+,0,0,0,0
ABCC6,chr16,16149565,16223617,-,1,0,0,0
ABCC6P1,chr16,18571248,18598289,+,0,0,0,0
ABCC6P2,chr16,14822432,14824702,-,0,0,0,0
ABCC8,chr11,17392885,17476849,-,1,1,0,1
ABCC9,chr12,21797389,21941863,-,0,0,0,0
ABCD1,chrX,153724851,153744762,+,0,0,0,0
ABCD1P2,chr10,38601416,38605609,+,0,0,0,0
ABCD1P3,chr16,32474823,32475807,-,0,0,0,0
ABCD1P4,chr22,16387689,16391884,+,0,0,0,0
ABCD1P5,chr2,91840607,91844011,+,0,0,0,0
ABCD2,chr12,39530965,39651333,-,0,0,1,1
ABCD3,chr1,94418086,94518663,+,0,1,0,0
ABCD4,chr14,74285277,74303064,-,1,1,1,0
ABCE1,chr4,145098004,145129524,+,0,0,0,0
ABCF1,chr6,30571393,30591532,+,1,1,1,1
ABCF1-DT,chr6,30563613,30571301,-,0,0,0,0
ABCF2,chr7,151207837,151227374,-,0,0,0,0
ABCF2P1,chr3,88317091,88319021,+,0,0,0,0
ABCF3,chr3,184186075,184194012,+,1,0,0,0
ABCG1,chr21,42199689,42304387,+,1,0,0,0
ABCG2,chr4,88090264,88231626,-,1,1,0,1
ABCG4,chr11,119149040,119162666,+,0,0,0,0
ABCG5,chr2,43806154,43838840,-,0,0,0,0
ABCG8,chr2,43831942,43880051,+,0,0,0,0
ABHD1,chr2,27123780,27131114,+,0,0,0,0
ABHD10,chr3,111978876,111993368,+,0,0,0,0
ABHD11,chr7,73736094,73738867,-,0,0,0,0
ABHD11-AS1,chr7,73735069,73736000,+,0,0,0,0
ABHD12,chr20,25294743,25390982,-,0,0,0,1
ABHD12B,chr14,50872090,50904970,+,0,1,0,0
ABHD13,chr13,108218415,108235440,+,0,0,0,0
ABHD14A,chr3,51975026,51981200,+,1,1,1,1
ABHD14A-ACY1,chr3,51975026,51989202,+,0,0,0,0
ABHD14B,chr3,51968510,51974630,-,1,1,1,1
ABHD15,chr17,29560661,29567024,-,0,1,0,0
ABHD16A,chr6,31686949,31703360,-,1,1,1,1
ABHD16B,chr20,63861213,63862988,+,0,0,0,0
ABHD17A,chr19,1876976,1885519,-,1,0,0,0
ABHD17AP1,chr1,148146066,148149788,+,0,0,0,0
ABHD17AP3,chr1,214605457,214609203,-,0,0,0,0
ABHD17AP4,chr22,20667597,20671339,-,0,0,0,0
ABHD17AP6,chr17,20840687,20844479,+,0,0,0,0
ABHD17B,chr9,71862452,71911536,-,0,0,0,0
ABHD17C,chr15,80695311,80755621,+,0,0,0,0
ABHD18,chr4,127965256,128039711,+,0,0,0,0
ABHD2,chr15,89088150,89202360,+,1,0,0,0
ABHD3,chr18,21650897,21704805,-,1,0,1,1
ABHD4,chr14,22598238,22612864,+,1,1,0,1
ABHD5,chr3,43690870,43734371,+,1,0,0,0
ABHD6,chr3,58237502,58294736,+,1,1,1,1
ABHD8,chr19,17292131,17303473,-,1,1,0,1
ABI1,chr10,26746596,26861087,-,0,0,0,0
ABI1P1,chr14,55546559,55550363,+,0,0,0,0
ABI2,chr2,203325013,203432173,+,0,1,1,1
ABI3,chr17,49210227,49223225,+,1,0,0,0
ABI3BP,chr3,100749329,100993508,-,0,0,0,0
ABL1,chr9,130713881,130887675,+,1,1,0,0
ABL2,chr1,179099327,179229693,-,0,0,0,0
ABLIM1,chr10,114431110,114821643,-,1,1,1,1
ABLIM2,chr4,7965310,8158832,-,0,0,0,0
ABLIM3,chr5,149141447,149260439,+,0,0,0,0
ABO,chr9,133255176,133275214,-,0,0,0,0
ABR,chr17,1003518,1229712,-,0,0,0,0
ABRA,chr8,106759483,106809073,-,0,0,0,0
ABRACL,chr6,139028682,139043302,+,0,0,0,0
ABRAXAS1,chr4,83460939,83485178,-,0,0,0,0
ABRAXAS2,chr10,124801785,124836670,+,0,0,0,0
ABT1,chr6,26596943,26600050,+,1,1,1,0
ABT1P1,chr4,99022122,99023155,-,0,0,0,0
ABTB1,chr3,127672928,127680926,+,0,1,0,0
ABTB2,chr11,34150987,34358008,-,1,0,0,1
ACAA1,chr3,38122710,38137242,-,0,0,0,0
ACAA2,chr18,49783504,49813881,-,1,1,1,1
ACACA,chr17,37084992,37406822,-,0,1,0,1
ACACB,chr12,109112666,109268226,+,1,0,0,0
ACAD10,chr12,111686053,111757107,+,1,1,1,1
ACAD11,chr3,132558138,132660131,-,1,1,0,1
ACAD8,chr11,134253538,134265858,+,1,1,1,1
ACAD9,chr3,128879490,128913114,+,0,1,0,0
ACADL,chr2,210187990,210225491,-,1,0,0,0
ACADM,chr1,75724347,75763679,+,0,0,0,0
ACADS,chr12,120725738,120740008,+,1,1,0,0
ACADSB,chr10,123008913,123058290,+,0,0,0,0
ACADVL,chr17,7217125,7225267,+,1,1,0,1
ACAN,chr15,88803442,88875354,+,0,0,0,0
ACAP1,chr17,7336506,7354944,+,1,1,0,0
ACAP2,chr3,195274736,195443176,-,0,0,0,0
ACAP3,chr1,1292384,1307925,-,1,1,0,0
ACAT1,chr11,108116705,108148822,+,1,1,0,0
ACAT2,chr6,159761957,159779112,+,1,1,1,1
ACBD3,chr1,226144679,226186722,-,0,0,0,0
ACBD3-AS1,chr1,226148003,226154977,+,0,0,0,0
ACBD4,chr17,45132600,45144181,+,1,0,0,0
ACBD5,chr10,27182838,27243542,-,1,0,1,0
ACBD6,chr1,180269663,180502887,-,0,0,0,0
ACBD7,chr10,15075475,15088776,-,0,0,1,0
ACBD7-DCLRE1CP1,chr10,15015072,15088776,-,0,0,0,0
ACCS,chr11,44066118,44084237,+,0,0,0,1
ACCSL,chr11,44047981,44060667,+,0,0,0,0
ACD,chr16,67657512,67660832,-,1,1,0,0
ACE,chr17,63477061,63498380,+,1,0,0,0
ACE2,chrX,15494520,15602069,-,1,0,0,0
ACER1,chr19,6306142,6360368,-,0,0,0,0
ACER2,chr9,19408927,19455173,+,1,0,0,0
ACER3,chr11,76860873,77026797,+,0,0,0,0
ACHE,chr7,100889994,100896133,-,1,1,0,0
ACIN1,chr14,23058564,23095614,-,1,0,0,0
ACKR1,chr1,159204013,159206500,+,1,0,0,0
ACKR2,chr3,42809472,42867283,+,0,0,0,0
ACKR3,chr2,236537131,236582358,+,0,0,0,1
ACKR4,chr3,132597237,132602644,+,0,0,0,0
ACLY,chr17,41866916,41930542,-,1,0,0,0
ACMSD,chr2,134838319,134902906,+,1,0,0,0
ACO1,chr9,32384603,32450836,+,1,1,0,1
ACO2,chr22,41468756,41528989,+,0,0,0,0
ACOD1,chr13,76948559,76958642,+,0,0,0,0
ACOT1,chr14,73493021,73543799,+,0,0,0,0
ACOT11,chr1,54548134,54634744,+,1,1,0,0
ACOT12,chr5,81309045,81394174,-,1,0,0,0
ACOT13,chr6,24667035,24705069,+,1,1,0,0
ACOT2,chr14,73567620,73575658,+,0,0,1,1
ACOT4,chr14,73591706,73595766,+,1,0,0,0
ACOT6,chr14,73612276,73619929,+,1,1,1,1
ACOT7,chr1,6264272,6393766,-,1,1,0,0
ACOT8,chr20,45841721,45857409,-,1,0,0,0
ACOT9,chrX,23701055,23743290,-,0,0,0,0
ACOX1,chr17,75941507,75979434,-,1,1,0,0
ACOX2,chr3,58505136,58537202,-,0,1,1,0
ACOX3,chr4,8366263,8440725,-,0,0,0,0
ACOXL,chr2,110732539,111120610,+,1,1,0,0
ACOXL-AS1,chr2,111098341,111115588,-,0,0,0,0
ACP1,chr2,264869,278283,+,1,0,0,0
ACP2,chr11,47239302,47248847,-,1,0,0,0
ACP4,chr19,50790415,50795224,+,0,0,0,0
ACP5,chr19,11574660,11579008,-,1,1,0,0
ACP6,chr1,147626182,147670543,-,0,0,0,1
ACP7,chr19,39083011,39112074,+,1,1,0,0
ACPP,chr3,132317367,132368765,+,1,0,0,0
ACR,chr22,50738224,50745299,+,0,0,0,0
ACRBP,chr12,6638076,6647414,-,0,0,1,1
ACRV1,chr11,125672334,125680898,-,0,1,1,0
ACSBG1,chr15,78167468,78234707,-,0,0,0,0
ACSBG2,chr19,6135633,6193103,+,1,0,0,0
ACSF2,chr17,50426158,50474845,+,1,1,0,1
ACSF3,chr16,89093809,89160556,+,0,0,0,0
ACSL1,chr4,184755595,184826593,-,0,0,0,1
ACSL3,chr2,222860934,222944651,+,0,1,1,1
ACSL4,chrX,109641330,109733403,-,0,0,0,0
ACSL5,chr10,112374158,112428380,+,0,0,0,0
ACSL6,chr5,131949973,132012068,-,1,0,0,0
ACSM1,chr16,20623235,20697788,-,1,0,0,0
ACSM2A,chr16,20451461,20487669,+,0,0,0,0
ACSM2B,chr16,20536758,20576376,-,0,0,0,0
ACSM3,chr16,20742440,20797811,+,0,0,1,0
ACSM4,chr12,7304332,7328373,+,0,0,0,0
ACSM5,chr16,20409534,20441333,+,0,0,0,0
ACSM5P1,chr16,20603919,20607169,-,0,0,0,0
ACSM6,chr10,95194200,95228929,+,0,0,0,0
ACSS1,chr20,25006230,25058182,-,1,0,0,0
ACSS2,chr20,34874942,34927966,+,0,0,0,0
ACSS3,chr12,81078018,81256759,+,0,1,0,1
ACTA1,chr1,229431245,229434096,-,0,0,0,0
ACTA2,chr10,88935074,88991397,-,1,1,1,1
ACTA2-AS1,chr10,88932684,88939974,+,0,0,0,0
ACTB,chr7,5527146,5530709,-,0,1,0,0
ACTBL2,chr5,57480016,57482809,-,0,0,0,0
ACTBP1,chrX,46287816,46289206,-,0,0,0,0
ACTBP10,chr14,18998860,19000587,+,0,0,0,0
ACTBP11,chr1,223863145,223864932,-,0,0,0,0
ACTBP12,chr1,92229002,92229435,-,0,0,0,0
ACTBP2,chr5,77784801,77786597,+,0,0,0,0
ACTBP4,chr5,131658440,131660199,-,0,0,0,0
ACTBP7,chr15,43988474,43990265,-,0,0,0,0
ACTBP8,chr6,88275295,88277074,-,0,0,0,0
ACTBP9,chr18,62441924,62443715,+,0,0,0,0
ACTC1,chr15,34788096,34795726,-,0,1,0,0
ACTG1,chr17,81509971,81512866,-,0,0,0,0
ACTG1P1,chr3,139493740,139495682,+,0,0,0,0
ACTG1P10,chrX,53141688,53143984,-,0,0,0,0
ACTG1P12,chr3,12070155,12071560,+,0,0,0,0
ACTG1P14,chr9,6834408,6835584,+,0,0,0,0
ACTG1P15,chr15,34373534,34374577,-,0,0,0,0
ACTG1P16,chr16,50057956,50059301,-,0,0,0,0
ACTG1P17,chr15,82725880,82739780,-,0,0,0,0
ACTG1P18,chr6,101430411,101431319,-,0,0,0,0
ACTG1P19,chr9,100731200,100732362,+,0,0,0,0
ACTG1P20,chr1,27323874,27326525,+,0,0,0,0
ACTG1P23,chr3,175977486,175978575,-,0,0,0,0
ACTG1P24,chr17,17242020,17242890,+,0,0,0,0
ACTG1P3,chr20,1160509,1162097,+,0,0,0,0
ACTG1P4,chr1,103569404,103571391,+,0,0,0,0
ACTG1P9,chr6,46204912,46206561,+,0,0,0,0
ACTG2,chr2,73892966,73919653,+,1,1,0,0
ACTL10,chr20,33666498,33668525,+,0,0,0,0
ACTL6A,chr3,179562880,179588405,+,1,1,1,1
ACTL6B,chr7,100643097,100656461,-,0,0,0,0
ACTL7A,chr9,108862228,108863755,+,0,0,0,0
ACTL7B,chr9,108854588,108855995,-,0,0,0,0
ACTL8,chr1,17755313,17827063,+,0,0,0,0
ACTL9,chr19,8697397,8698830,-,0,0,0,0
ACTN1,chr14,68874123,68979366,-,0,0,0,1
ACTN1-AS1,chr14,68979682,68987463,+,0,0,0,0
ACTN2,chr1,236686454,236764631,+,0,0,0,0
ACTN3,chr11,66546395,66563329,+,0,1,0,1
ACTN4,chr19,38647616,38730532,+,1,0,0,0
ACTN4P1,chr4,116598160,116599808,+,0,0,0,0
ACTN4P2,chr1,37776637,37779538,+,0,0,0,0
ACTR10,chr14,58200115,58235636,+,1,0,0,0
ACTR1A,chr10,102479229,102502755,-,0,1,0,0
ACTR1B,chr2,97655939,97664098,-,0,0,0,0
ACTR2,chr2,65227695,65271253,+,0,1,0,0
ACTR3,chr2,113889934,113961554,+,1,0,0,0
ACTR3B,chr7,152759749,153070979,+,0,0,0,0
ACTR3BP1,chrY,11395873,11397516,+,0,0,0,0
ACTR3BP2,chr2,91941133,91942470,+,0,0,0,0
ACTR3BP3,chr16,32378627,32380268,-,0,0,0,0
ACTR3BP4,chr4,102962129,102963771,+,0,0,0,0
ACTR3BP5,chr10,38696596,38698241,+,0,0,0,0
ACTR3BP6,chr22,16486693,16488336,+,0,0,0,0
ACTR3C,chr7,149881359,150323669,-,1,1,0,0
ACTR5,chr20,38748454,38772446,+,0,0,0,1
ACTR6,chr12,100200087,100224424,+,0,0,0,0
ACTR8,chr3,53858992,53882202,-,0,1,0,1
ACTRT1,chrX,128050962,128052403,-,0,0,0,0
ACTRT2,chr1,3021482,3022903,+,0,0,0,0
ACTRT3,chr3,169766921,169769895,-,1,1,0,1
ACVR1,chr2,157736446,157875896,-,1,1,0,1
ACVR1B,chr12,51951667,51997079,+,0,0,0,0
ACVR1C,chr2,157526767,157628887,-,1,1,0,0
ACVR2A,chr2,147844517,147930827,+,1,0,0,0
ACVR2B,chr3,38454299,38493142,+,0,0,0,0
ACVR2B-AS1,chr3,38451027,38454820,-,0,0,0,0
ACVRL1,chr12,51906913,51923361,+,0,0,1,0
ACY1,chr3,51983284,51989202,+,1,1,1,1
ACY3,chr11,67642551,67650829,-,0,0,0,0
ACYP1,chr14,75053221,75069483,-,1,0,0,0
ACYP2,chr2,53970838,54305300,+,1,0,1,0
ADA,chr20,44619519,44651758,-,1,0,0,1
ADA2,chr22,17178790,17221854,-,0,0,0,0
ADAD1,chr4,122378966,122429815,+,0,0,0,0
ADAD2,chr16,84191117,84197166,+,1,1,0,0
ADAL,chr15,43330341,43354555,+,1,1,1,0
ADAM10,chr15,58595204,58749978,-,0,0,0,0
ADAM11,chr17,44759151,44781846,+,0,0,1,1
ADAM12,chr10,126012385,126388558,-,0,0,1,0
ADAM15,chr1,155051272,155062776,+,1,1,0,1
ADAM17,chr2,9488486,9555820,-,0,1,1,1
ADAM18,chr8,39584568,39730064,+,0,0,0,0
ADAM19,chr5,157477304,157575823,-,0,1,0,1
ADAM1A,chr12,111899063,111901902,+,0,0,0,0
ADAM2,chr8,39743735,39838289,-,0,0,0,0
ADAM20,chr14,70520817,70564742,-,0,0,0,0
ADAM20P1,chr14,70468876,70483756,-,0,0,0,0
ADAM21,chr14,70452157,70459905,+,0,0,0,0
ADAM21P1,chr14,70245753,70247801,-,0,0,0,0
ADAM22,chr7,87934143,88202889,+,0,0,0,0
ADAM23,chr2,206443544,206621130,+,1,1,1,1
ADAM28,chr8,24294040,24359018,+,1,0,0,0
ADAM29,chr4,174918358,174978180,+,0,0,0,0
ADAM30,chr1,119893533,119896524,-,0,0,0,0
ADAM32,chr8,39107529,39284917,+,0,1,0,0
ADAM33,chr20,3667965,3682690,-,0,0,1,1
ADAM3A,chr8,39451045,39522989,-,0,0,0,0
ADAM3B,chr16,49517646,49518585,-,0,0,0,0
ADAM5,chr8,39314663,39417226,+,0,0,0,0
ADAM6,chr14,105969729,105972269,-,0,0,0,0
ADAM7,chr8,24440996,24509565,+,0,0,0,0
ADAM8,chr10,133262416,133276903,-,1,0,1,1
ADAM9,chr8,38996767,39105261,+,1,1,0,0
ADAMDEC1,chr8,24384285,24406013,+,0,0,0,0
ADAMTS1,chr21,26836287,26845409,-,1,0,0,0
ADAMTS10,chr19,8580240,8610735,-,0,0,0,1
ADAMTS12,chr5,33523535,33892192,-,1,1,1,1
ADAMTS13,chr9,133414339,133459403,+,1,1,0,1
ADAMTS14,chr10,70672506,70762441,+,1,0,0,0
ADAMTS15,chr11,130448876,130478215,+,0,1,1,1
ADAMTS16,chr5,5140330,5320304,+,1,1,0,0
ADAMTS17,chr15,99971438,100342924,-,0,1,0,0
ADAMTS18,chr16,77282128,77435114,-,0,0,0,0
ADAMTS19,chr5,129460265,129738683,+,0,0,0,1
ADAMTS19-AS1,chr5,129459559,129460689,-,0,0,0,0
ADAMTS2,chr5,179110851,179345430,-,1,1,1,1
ADAMTS20,chr12,43352843,43551971,-,1,1,0,0
ADAMTS3,chr4,72280969,72568799,-,1,0,0,0
ADAMTS4,chr1,161189729,161202339,-,0,0,0,0
ADAMTS5,chr21,26917912,26967758,-,0,1,0,0
ADAMTS6,chr5,65148736,65482663,-,0,0,1,0
ADAMTS7,chr15,78759203,78811476,-,0,0,0,0
ADAMTS7P1,chr15,82293283,82334561,+,0,0,0,0
ADAMTS7P3,chr15,77976009,77993241,+,0,0,0,0
ADAMTS7P4,chr15,85255366,85270854,-,0,0,0,0
ADAMTS8,chr11,130404923,130428993,-,1,1,0,0
ADAMTS9,chr3,64515654,64688000,-,1,1,1,0
ADAMTS9-AS1,chr3,64561346,64590084,+,0,0,0,0
ADAMTS9-AS2,chr3,64684870,65011468,+,0,0,0,0
ADAMTSL1,chr9,17906515,18910950,+,0,1,0,0
ADAMTSL2,chr9,133532164,133575519,+,1,0,0,0
ADAMTSL3,chr15,83654086,84039842,+,1,1,0,0
ADAMTSL4,chr1,150549369,150560937,+,1,0,0,0
ADAMTSL4-AS1,chr1,150560895,150574552,-,0,0,0,0
ADAMTSL5,chr19,1505018,1513189,-,0,0,0,0
ADAP1,chr7,897900,955407,-,1,0,1,0
ADAP2,chr17,30921736,30959398,+,1,0,1,0
ADAR,chr1,154582057,154631560,-,0,0,0,0
ADARB1,chr21,45074578,45226563,+,0,0,0,0
ADARB2,chr10,1177313,1737476,-,0,0,0,0
ADARB2-AS1,chr10,1526630,1557008,+,0,0,0,0
ADAT1,chr16,75596879,75623323,-,1,0,0,0
ADAT2,chr6,143422832,143450750,-,1,0,0,0
ADAT3,chr19,1905214,1913447,+,0,0,0,0
ADCK1,chr14,77800058,77933954,+,1,1,1,0
ADCK2,chr7,140672895,140695114,+,0,0,0,0
ADCK5,chr8,144373762,144393242,+,0,0,0,0
ADCY1,chr7,45574140,45723116,+,0,0,0,0
ADCY10,chr1,167809080,167916389,-,0,0,0,0
ADCY10P1,chr6,41101034,41140835,+,0,0,0,0
ADCY2,chr5,7396230,7830081,+,1,1,0,0
ADCY3,chr2,24819169,24920017,-,1,0,0,1
ADCY4,chr14,24318349,24335071,-,0,1,1,1
ADCY5,chr3,123282296,123448988,-,0,0,0,1
ADCY6,chr12,48766191,48789096,-,1,0,0,0
ADCY7,chr16,50246138,50318135,+,1,1,0,1
ADCY8,chr8,130780300,131041604,-,1,1,0,0
ADCY9,chr16,3953387,4116185,-,0,0,0,0
ADCYAP1,chr18,904384,912172,+,0,0,0,0
ADCYAP1R1,chr7,31052341,31111479,+,0,0,0,0
ADD1,chr4,2843857,2930076,+,0,1,0,0
ADD2,chr2,70656784,70768243,-,0,1,0,0
ADD3,chr10,109996350,110135565,+,0,0,0,0
ADD3-AS1,chr10,109945559,110008381,-,0,0,0,0
ADGB,chr6,146598965,146815462,+,0,0,0,0
ADGRA1,chr10,133070929,133131675,+,1,0,0,0
ADGRA1-AS1,chr10,133085244,133086697,-,0,0,0,0
ADGRA2,chr8,37796883,37843986,+,1,1,0,0
ADGRA3,chr4,22387374,22516058,-,1,1,0,1
ADGRB1,chr8,142449703,142545009,+,0,0,0,0
ADGRB2,chr1,31727105,31764063,-,1,1,0,0
ADGRB3,chr6,68635283,69389511,+,1,0,1,1
ADGRD1,chr12,130953907,131141469,+,0,1,0,0
ADGRD1-AS1,chr12,130990626,130993976,-,0,0,0,0
ADGRD2,chr9,124451087,124477795,+,0,0,0,0
ADGRE1,chr19,6887549,6940453,+,0,0,0,0
ADGRE2,chr19,14732697,14778541,-,1,1,0,0
ADGRE3,chr19,14600175,14674918,-,0,0,0,0
ADGRE4P,chr19,6952500,6990846,-,0,0,0,0
ADGRE5,chr19,14381144,14408725,+,0,0,0,0
ADGRF1,chr6,46997703,47042363,-,0,0,0,0
ADGRF2,chr6,47656590,47697797,+,0,0,0,0
ADGRF3,chr2,26308173,26346817,-,1,1,0,0
ADGRF4,chr6,47698545,47722021,+,0,0,0,0
ADGRF5,chr6,46852505,46954954,-,0,0,0,0
ADGRF5P1,chr9,62860848,62862194,-,0,0,0,0
ADGRF5P2,chr9,42795391,42796789,+,0,0,0,0
ADGRG1,chr16,57619535,57665039,+,1,1,0,0
ADGRG2,chrX,18989307,19122956,-,1,0,0,0
ADGRG3,chr16,57663998,57689378,+,0,1,0,0
ADGRG4,chrX,136300963,136416888,+,0,0,0,0
ADGRG5,chr16,57529339,57578182,+,1,1,0,0
ADGRG6,chr6,142301919,142446266,+,1,0,1,0
ADGRG7,chr3,100609589,100696174,+,0,0,0,0
ADGRL1,chr19,14147737,14206245,-,0,1,0,0
ADGRL2,chr1,81306104,81993932,+,1,0,0,1
ADGRL3,chr4,61201256,62078335,+,1,1,0,0
ADGRL3-AS1,chr4,62071755,62161765,-,0,0,0,0
ADGRL4,chr1,78889764,79006810,-,1,0,0,0
ADGRV1,chr5,90558796,91164226,+,1,1,0,1
ADH1A,chr4,99276366,99291028,-,0,0,0,0
ADH1B,chr4,99306387,99321442,-,0,0,0,0
ADH1C,chr4,99336492,99353045,-,0,0,0,0
ADH4,chr4,99123657,99144298,-,0,0,0,0
ADH5,chr4,99070978,99088788,-,1,0,0,1
ADH5P2,chr1,79521067,79522468,+,0,0,0,0
ADH5P3,chr1,240170143,240171530,+,0,0,0,0
ADH5P4,chr6,65835477,65838068,-,0,0,0,0
ADH6,chr4,99202638,99219246,-,0,0,0,0
ADH7,chr4,99412261,99435510,-,0,0,0,0
ADHFE1,chr8,66432483,66468809,+,0,0,0,0
ADI1,chr2,3497919,3519579,-,0,0,0,0
ADIG,chr20,38581195,38588463,+,0,0,0,0
ADIPOQ,chr3,186842674,186858463,+,0,0,0,0
ADIPOQ-AS1,chr3,186851886,186861368,-,0,0,0,0
ADIPOR1,chr1,202940825,202958572,-,0,0,0,0
ADIPOR2,chr12,1691027,1788679,+,0,0,0,0
ADIRF,chr10,86968431,86970909,+,0,0,0,0
ADK,chr10,74151185,74709303,+,1,1,1,0
ADM,chr11,10304980,10307402,+,1,1,0,0
ADM2,chr22,50481724,50486440,+,1,1,0,0
ADM5,chr19,49688685,49690990,+,0,0,0,0
ADNP,chr20,50888918,50931213,-,0,0,0,0
ADNP-AS1,chr20,50930984,50945134,+,0,0,0,0
ADNP2,chr18,80109031,80140346,+,1,1,0,0
ADO,chr10,62804756,62808479,+,1,0,0,0
ADORA1,chr1,203127705,203167405,+,1,1,0,0
ADORA2A,chr22,24423597,24442360,+,1,0,0,0
ADORA2A-AS1,chr22,24429206,24495074,-,0,0,0,0
ADORA2B,chr17,15927782,15975896,+,0,0,0,0
ADORA2BP1,chr1,209744350,209745676,+,0,0,0,0
ADORA3,chr1,111499429,111504121,-,0,0,0,0
ADPGK,chr15,72751367,72783785,-,0,0,0,0
ADPGK-AS1,chr15,72782835,72798199,+,0,0,0,0
