"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","13/110","292/17073",4.94331898100624e-08,3.64271471117598e-06,3.25846361869595e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/DNMT3B/LIN28A/TRIM71/MYCN/DDX21/HELLS",13,"9-Topic Analysis","Topic k2"
"GO:0001708","BP","GO:0001708","cell fate specification","8/110","85/17073",7.32074808484933e-08,5.21481288577434e-06,4.66472930599522e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"9-Topic Analysis","Topic k2"
"GO:0031047","BP","GO:0031047","gene silencing by RNA","10/110","160/17073",8.27128703441589e-08,5.70185173953121e-06,5.10039295568735e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN",10,"9-Topic Analysis","Topic k2"
"GO:0001706","BP","GO:0001706","endoderm formation","7/110","59/17073",9.8399050718329e-08,6.57121160578341e-06,5.8780485560686e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0016458","BP","GO:0016458","gene silencing","11/110","218/17073",1.6115786933169e-07,1.04361929321764e-05,9.33533303688512e-06,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/MYCN/HELLS",11,"9-Topic Analysis","Topic k2"
"GO:0007492","BP","GO:0007492","endoderm development","7/110","83/17073",1.05494393048077e-06,6.63063288069824e-05,5.93120178870921e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0051302","BP","GO:0051302","regulation of cell division","9/110","169/17073",1.45478299925893e-06,8.88248934118952e-05,7.94552158392245e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2/CENPV",9,"9-Topic Analysis","Topic k2"
"GO:0001704","BP","GO:0001704","formation of primary germ layer","8/110","129/17073",1.83493295093414e-06,0.00010703490073565,9.57443438839198e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP2",8,"9-Topic Analysis","Topic k2"
"GO:0019827","BP","GO:0019827","stem cell population maintenance","9/110","174/17073",1.85320136977961e-06,0.00010703490073565,9.57443438839198e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A",9,"9-Topic Analysis","Topic k2"
"GO:0002495","BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","9/110","176/17073",2.03710624780527e-06,0.000111622975681022,9.98484465860829e-05,"PYCARD/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/KIF26A",9,"9-Topic Analysis","Topic k2"
"GO:0098727","BP","GO:0098727","maintenance of cell number","9/110","176/17073",2.03710624780527e-06,0.000111622975681022,9.98484465860829e-05,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/LIN28A",9,"9-Topic Analysis","Topic k2"
"GO:0002504","BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","9/110","177/17073",2.13481456845362e-06,0.000114052468319634,0.000102021664639783,"PYCARD/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/KIF26A",9,"9-Topic Analysis","Topic k2"
"GO:0007369","BP","GO:0007369","gastrulation","9/110","186/17073",3.21198343581922e-06,0.000167414843959651,0.000149755119883125,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/SFRP2",9,"9-Topic Analysis","Topic k2"
"GO:0001824","BP","GO:0001824","blastocyst development","7/110","112/17073",7.89871605009974e-06,0.00039787972428092,0.000355909454618699,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1",7,"9-Topic Analysis","Topic k2"
"GO:0050890","BP","GO:0050890","cognition","11/110","325/17073",8.00600287509572e-06,0.00039787972428092,0.000355909454618699,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/PTPRZ1/HMGCR/ATP1A2",11,"9-Topic Analysis","Topic k2"
"GO:0019886","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","8/110","174/17073",1.67768405827932e-05,0.00081482064375975,0.000728869437759627,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/KIF26A",8,"9-Topic Analysis","Topic k2"
"GO:0045165","BP","GO:0045165","cell fate commitment","9/110","250/17073",3.43938266419696e-05,0.0016333246118642,0.00146103366507174,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/SFRP1/SFRP2",9,"9-Topic Analysis","Topic k2"
"GO:0051348","BP","GO:0051348","negative regulation of transferase activity","9/110","276/17073",7.39673169548147e-05,0.0034362642680965,0.00307379056269894,"SFRP1/USP44/SFRP2/TERF1/DUSP6/PYCARD/APOE/RHOH/HMGCR",9,"9-Topic Analysis","Topic k2"
"GO:0043407","BP","GO:0043407","negative regulation of MAP kinase activity","5/110","70/17073",8.78842650618345e-05,0.00399592924334341,0.0035744193807904,"SFRP1/SFRP2/DUSP6/APOE/HMGCR",5,"9-Topic Analysis","Topic k2"
"GO:0021889","BP","GO:0021889","olfactory bulb interneuron differentiation","3/110","14/17073",8.99517549685694e-05,0.00400472709099652,0.00358228918909917,"SALL3/SALL3/SALL3",3,"9-Topic Analysis","Topic k2"
"GO:0035296","BP","GO:0035296","regulation of tube diameter","6/110","120/17073",0.000125580022296813,0.00536729015296581,0.00480112253665291,"CHGA/CHGA/APOE/ASIC2/HMGCR/ATP1A2",6,"9-Topic Analysis","Topic k2"
"GO:0097746","BP","GO:0097746","regulation of blood vessel diameter","6/110","120/17073",0.000125580022296813,0.00536729015296581,0.00480112253665291,"CHGA/CHGA/APOE/ASIC2/HMGCR/ATP1A2",6,"9-Topic Analysis","Topic k2"
"GO:0097756","BP","GO:0097756","negative regulation of blood vessel diameter","5/110","77/17073",0.000138433613966685,0.00570135758783844,0.00509995092949516,"CHGA/CHGA/ASIC2/HMGCR/ATP1A2",5,"9-Topic Analysis","Topic k2"
"GO:0019882","BP","GO:0019882","antigen processing and presentation","10/110","370/17073",0.000138732145328778,0.00570135758783844,0.00509995092949516,"PYCARD/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/RAB3C/KIF26A",10,"9-Topic Analysis","Topic k2"
"GO:0055119","BP","GO:0055119","relaxation of cardiac muscle","3/110","17/17073",0.000165690471464474,0.00668076485886001,0.00597604560435917,"CHGA/CHGA/ATP1A2",3,"9-Topic Analysis","Topic k2"
"GO:0050880","BP","GO:0050880","regulation of blood vessel size","6/110","128/17073",0.000178869784142779,0.00707860608727998,0.00633192062384575,"CHGA/CHGA/APOE/ASIC2/HMGCR/ATP1A2",6,"9-Topic Analysis","Topic k2"
"GO:0050852","BP","GO:0050852","T cell receptor signaling pathway","8/110","245/17073",0.000186581390975575,0.00724953513663278,0.00648481925381136,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/LCK",8,"9-Topic Analysis","Topic k2"
"GO:0035150","BP","GO:0035150","regulation of tube size","6/110","130/17073",0.000194639857732604,0.00742759599954599,0.00664409739929341,"CHGA/CHGA/APOE/ASIC2/HMGCR/ATP1A2",6,"9-Topic Analysis","Topic k2"
"GO:0071901","BP","GO:0071901","negative regulation of protein serine/threonine kinase activity","6/110","131/17073",0.000202925948209101,0.00760794300566401,0.00680542053458407,"SFRP1/SFRP2/DUSP6/PYCARD/APOE/HMGCR",6,"9-Topic Analysis","Topic k2"
"GO:0045540","BP","GO:0045540","regulation of cholesterol biosynthetic process","4/110","46/17073",0.000216112090305568,0.00782765316920337,0.00700195461186283,"SCD/APOE/HMGCS1/HMGCR",4,"9-Topic Analysis","Topic k2"
"GO:0106118","BP","GO:0106118","regulation of sterol biosynthetic process","4/110","46/17073",0.000216112090305568,0.00782765316920337,0.00700195461186283,"SCD/APOE/HMGCS1/HMGCR",4,"9-Topic Analysis","Topic k2"
"GO:0060333","BP","GO:0060333","interferon-gamma-mediated signaling pathway","7/110","189/17073",0.000222041993593999,0.0079083956718396,0.00707418000643338,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0030669","CC","GO:0030669","clathrin-coated endocytic vesicle membrane","8/111","87/17712",7.14344493509368e-08,1.72871367429267e-05,1.43620840273989e-05,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0045334","CC","GO:0045334","clathrin-coated endocytic vesicle","8/111","107/17712",3.59276937078959e-07,4.3472509386554e-05,3.61167868326743e-05,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0030658","CC","GO:0030658","transport vesicle membrane","11/111","277/17712",1.3322775525833e-06,8.56687858329694e-05,7.11732844458337e-05,"CHGA/CHGA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/SYT6/RAB3C",11,"9-Topic Analysis","Topic k2"
"GO:0042613","CC","GO:0042613","MHC class II protein complex","7/111","89/17712",1.4160129889747e-06,8.56687858329694e-05,7.11732844458337e-05,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0031902","CC","GO:0031902","late endosome membrane","8/111","153/17712",5.37194044815714e-06,0.000260001917690805,0.000216008552757476,"PMEL/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0030665","CC","GO:0030665","clathrin-coated vesicle membrane","8/111","157/17712",6.49992243847964e-06,0.000262163538352012,0.000217804418552563,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0071556","CC","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","7/111","117/17712",8.82717781612523e-06,0.000267022128937788,0.00022184091616841,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0098553","CC","GO:0098553","lumenal side of endoplasmic reticulum membrane","7/111","117/17712",8.82717781612523e-06,0.000267022128937788,0.00022184091616841,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0042611","CC","GO:0042611","MHC protein complex","7/111","135/17712",2.24657204995094e-05,0.000604078262320141,0.000501865802971496,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0012507","CC","GO:0012507","ER to Golgi transport vesicle membrane","7/111","140/17712",2.84077898263993e-05,0.000654256229508382,0.000543553457312314,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0032588","CC","GO:0032588","trans-Golgi network membrane","7/111","141/17712",2.97389195231083e-05,0.000654256229508382,0.000543553457312314,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0030134","CC","GO:0030134","COPII-coated ER to Golgi transport vesicle","7/111","155/17712",5.44466828941212e-05,0.00109800810503144,0.000912220739717294,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0030136","CC","GO:0030136","clathrin-coated vesicle","8/111","231/17712",0.000103304738749847,0.00192305744442023,0.00159766842924865,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0030133","CC","GO:0030133","transport vesicle","11/111","449/17712",0.00011929070096303,0.00206202497378952,0.00171312209653675,"CHGA/CHGA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/SYT6/RAB3C",11,"9-Topic Analysis","Topic k2"
"GO:0030660","CC","GO:0030660","Golgi-associated vesicle membrane","7/111","187/17712",0.00017608650564453,0.00284086229106509,0.00236017702302493,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0030662","CC","GO:0030662","coated vesicle membrane","8/111","253/17712",0.00019301341082223,0.00291932783868623,0.00242536588598987,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0034362","CC","GO:0034362","low-density lipoprotein particle","3/111","19/17712",0.000215746485362659,0.00307121467398609,0.00255155286094538,"APOE/PLA2G7/LSR",3,"9-Topic Analysis","Topic k2"
"GO:0030666","CC","GO:0030666","endocytic vesicle membrane","8/111","267/17712",0.000277935881167366,0.00373669351347236,0.00310443001771736,"APOE/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0005770","CC","GO:0005770","late endosome","8/111","270/17712",0.000299617277234172,0.00381617795214051,0.00317046537128681,"PMEL/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",8,"9-Topic Analysis","Topic k2"
"GO:0042629","CC","GO:0042629","mast cell granule","3/111","22/17712",0.000338216334741846,0.00409241765037634,0.00339996420714172,"CHGA/CHGA/PLA2G3",3,"9-Topic Analysis","Topic k2"
"GO:0005798","CC","GO:0005798","Golgi-associated vesicle","7/111","232/17712",0.000647225897937301,0.00745850796670604,0.00619649857173055,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0030176","CC","GO:0030176","integral component of endoplasmic reticulum membrane","7/111","235/17712",0.000698196744965917,0.00768016419462509,0.00638064967887513,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0031227","CC","GO:0031227","intrinsic component of endoplasmic reticulum membrane","7/111","241/17712",0.000809678247138678,0.00851922329598087,0.00707773662258524,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0035198","MF","GO:0035198","miRNA binding","10/108","36/17050",1.50517518919091e-14,4.22954228162645e-12,4.18280263101474e-12,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/DDX21",10,"9-Topic Analysis","Topic k2"
"GO:0061980","MF","GO:0061980","regulatory RNA binding","10/108","42/17050",8.44333738887835e-14,1.18628890313741e-11,1.17317951087573e-11,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/LIN28A/TRIM71/DDX21",10,"9-Topic Analysis","Topic k2"
"GO:0023026","MF","GO:0023026","MHC class II protein complex binding","7/108","52/17050",3.55722902713004e-08,3.33193785541181e-06,3.29511741460467e-06,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0032395","MF","GO:0032395","MHC class II receptor activity","7/108","58/17050",7.74953884912812e-08,5.4440510415125e-06,5.38389014781532e-06,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0023023","MF","GO:0023023","MHC protein complex binding","7/108","67/17050",2.1391434856997e-07,1.20219863896323e-05,1.18891343205205e-05,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0042605","MF","GO:0042605","peptide antigen binding","7/108","114/17050",7.93267229825956e-06,0.000371513485968489,0.000367407980129916,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:0001227","MF","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","9/108","238/17050",2.03847549873083e-05,0.000818302307347662,0.000809259446112691,"POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/POU5F1/HESX1/BCL11A",9,"9-Topic Analysis","Topic k2"
"GO:0003823","MF","GO:0003823","antigen binding","7/108","140/17050",3.02638134313934e-05,0.00106301644677769,0.00105126930866945,"HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA/HLA-DRA",7,"9-Topic Analysis","Topic k2"
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","26/108","231/17073",1.62654828709898e-25,3.31327886082062e-22,2.57337060579975e-22,"NPM1/HSP90AA1/PSMA3/PSMB1/PSMB1/CCNB1/PSMB2/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB4B/PSMA4/PSMA5/PSMC5/CENPF/PSMB6/PSMB3/PSMB3/SKP1/PSMC3/CDK1",26,"9-Topic Analysis","Topic k6"
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","25/108","215/17073",6.71068436580315e-25,6.83483202657051e-22,5.30850452726428e-22,"HSP90AA1/PSMA3/PSMB1/PSMB1/CCNB1/PSMB2/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB4B/PSMA4/PSMA5/PSMC5/CENPF/PSMB6/PSMB3/PSMB3/SKP1/PSMC3/CDK1",25,"9-Topic Analysis","Topic k6"
"GO:0044839","BP","GO:0044839","cell cycle G2/M phase transition","26/108","287/17073",4.74055448713641e-23,3.21883649676562e-20,2.50001873479509e-20,"NPM1/HSP90AA1/PSMA3/PSMB1/PSMB1/CCNB1/PSMB2/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB4B/PSMA4/PSMA5/PSMC5/CENPF/PSMB6/PSMB3/PSMB3/SKP1/PSMC3/CDK1",26,"9-Topic Analysis","Topic k6"
