"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0045047","BP","GO:0045047","protein targeting to ER","8/95","116/17073",2.64559913963463e-07,4.28346551608116e-05,3.75194059802729e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:1902930","BP","GO:1902930","regulation of alcohol biosynthetic process","7/95","81/17073",3.28229600069181e-07,4.70756608947491e-05,4.12341555282474e-05,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",7,"10-Topic Analysis","Topic k3"
"GO:0072599","BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","8/95","120/17073",3.43617962735395e-07,4.70756608947491e-05,4.12341555282474e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0042407","BP","GO:0042407","cristae formation","5/95","29/17073",5.12459554148048e-07,6.51921761384053e-05,5.71026360336397e-05,"ATP5MC1/CHCHD10/CHCHD10/ATP5MC2/UQCC3",5,"10-Topic Analysis","Topic k3"
"GO:0070972","BP","GO:0070972","protein localization to endoplasmic reticulum","8/95","136/17073",8.9498367061753e-07,0.000106264394491321,9.30783017442232e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0000184","BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","8/95","138/17073",9.99862948329828e-07,0.000110154819119701,9.64859729515631e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0050810","BP","GO:0050810","regulation of steroid biosynthetic process","7/95","96/17073",1.05144970524139e-06,0.000110154819119701,9.64859729515631e-05,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",7,"10-Topic Analysis","Topic k3"
"GO:0008203","BP","GO:0008203","cholesterol metabolic process","8/95","143/17073",1.30899714488231e-06,0.000129517995279744,0.000113446419223133,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:1902652","BP","GO:1902652","secondary alcohol metabolic process","8/95","147/17073",1.61177457448229e-06,0.000151082658797524,0.000132335175589073,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","11/95","328/17073",2.0648390162751e-06,0.000183873914399298,0.000161057443269458,"NME4/ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",11,"10-Topic Analysis","Topic k3"
"GO:0007007","BP","GO:0007007","inner mitochondrial membrane organization","5/95","39/17073",2.37773632900861e-06,0.000193481452414804,0.000169472805034865,"ATP5MC1/CHCHD10/CHCHD10/ATP5MC2/UQCC3",5,"10-Topic Analysis","Topic k3"
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","11/95","333/17073",2.39000109664553e-06,0.000193481452414804,0.000169472805034865,"NME4/ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",11,"10-Topic Analysis","Topic k3"
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","11/95","335/17073",2.53215232514739e-06,0.000196076664829891,0.000171745983792606,"NME4/ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",11,"10-Topic Analysis","Topic k3"
"GO:0016125","BP","GO:0016125","sterol metabolic process","8/95","158/17073",2.76888581437231e-06,0.000205474401474878,0.0001799775779342,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:0019083","BP","GO:0019083","viral transcription","9/95","218/17073",3.47350140671397e-06,0.000247452240214303,0.000216746487778952,"RPS23/RPL9/RPL18/RPL22/POLR2I/RPSA/RPL4/RPL15/RPS7",9,"10-Topic Analysis","Topic k3"
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","11/95","351/17073",3.9634506838443e-06,0.000271496371843335,0.000237807041030658,"NME4/ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",11,"10-Topic Analysis","Topic k3"
"GO:0019218","BP","GO:0019218","regulation of steroid metabolic process","7/95","123/17073",5.54701786932398e-06,0.000365897734269111,0.000320494365783163,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",7,"10-Topic Analysis","Topic k3"
"GO:0019080","BP","GO:0019080","viral gene expression","9/95","233/17073",5.9698847888812e-06,0.000379727314607051,0.000332607866809096,"RPS23/RPL9/RPL18/RPL22/POLR2I/RPSA/RPL4/RPL15/RPS7",9,"10-Topic Analysis","Topic k3"
"GO:0006612","BP","GO:0006612","protein targeting to membrane","8/95","177/17073",6.42576101091459e-06,0.000394630357256513,0.000345661626794026,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0046034","BP","GO:0046034","ATP metabolic process","10/95","302/17073",6.92752051430765e-06,0.000411263801199398,0.000360231066743998,"ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",10,"10-Topic Analysis","Topic k3"
"GO:1901617","BP","GO:1901617","organic hydroxy compound biosynthetic process","9/95","242/17073",8.10734060674695e-06,0.00046577979421343,0.000407982301500814,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/ISYNA1/DHCR7",9,"10-Topic Analysis","Topic k3"
"GO:0046890","BP","GO:0046890","regulation of lipid biosynthetic process","8/95","187/17073",9.61511755123311e-06,0.000535141386210818,0.000468736980622614,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7/FABP3",8,"10-Topic Analysis","Topic k3"
"GO:0008584","BP","GO:0008584","male gonad development","7/95","136/17073",1.07491941132989e-05,0.000580130748963192,0.000508143721719585,"SFRP1/SFRP2/MGST1/UTF1/NASP/HMGCS1/MSH2",7,"10-Topic Analysis","Topic k3"
"GO:0046546","BP","GO:0046546","development of primary male sexual characteristics","7/95","137/17073",1.12770485340896e-05,0.00059071833644746,0.000517417520975877,"SFRP1/SFRP2/MGST1/UTF1/NASP/HMGCS1/MSH2",7,"10-Topic Analysis","Topic k3"
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle","12/95","484/17073",1.52101583254142e-05,0.000773979770787507,0.00067793848536132,"RPS23/TERF1/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7/HIKESHI/TOMM20/TRIM28",12,"10-Topic Analysis","Topic k3"
"GO:0009167","BP","GO:0009167","purine ribonucleoside monophosphate metabolic process","10/95","332/17073",1.57951676886608e-05,0.000780279605646879,0.000683456588887777,"ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",10,"10-Topic Analysis","Topic k3"
"GO:0009126","BP","GO:0009126","purine nucleoside monophosphate metabolic process","10/95","333/17073",1.62101883261845e-05,0.000780279605646879,0.000683456588887777,"ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",10,"10-Topic Analysis","Topic k3"
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","8/95","203/17073",1.74560203645778e-05,0.000818136112350346,0.000716615572861617,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:0006413","BP","GO:0006413","translational initiation","8/95","209/17073",2.1532635063008e-05,0.000983323667877363,0.000861305402520318,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0009161","BP","GO:0009161","ribonucleoside monophosphate metabolic process","10/95","346/17073",2.2523737213403e-05,0.00100286939942677,0.000878425751322718,"ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",10,"10-Topic Analysis","Topic k3"
"GO:0046661","BP","GO:0046661","male sex differentiation","7/95","160/17073",3.08206236761976e-05,0.00133881782359288,0.00117268714475288,"SFRP1/SFRP2/MGST1/UTF1/NASP/HMGCS1/MSH2",7,"10-Topic Analysis","Topic k3"
"GO:0009123","BP","GO:0009123","nucleoside monophosphate metabolic process","10/95","365/17073",3.54991969539873e-05,0.00150533499464408,0.0013185416011481,"ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3/AK4",10,"10-Topic Analysis","Topic k3"
"GO:0000956","BP","GO:0000956","nuclear-transcribed mRNA catabolic process","8/95","233/17073",4.67377525155901e-05,0.00193581249372712,0.00169560218428653,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0090150","BP","GO:0090150","establishment of protein localization to membrane","9/95","306/17073",5.16920608449991e-05,0.0020923536446578,0.00183271852086815,"CD24/RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",9,"10-Topic Analysis","Topic k3"
"GO:0060026","BP","GO:0060026","convergent extension","3/95","14/17073",5.81105218993884e-05,0.00229988532228468,0.00201449809251213,"SFRP1/SFRP2/TRIM28",3,"10-Topic Analysis","Topic k3"
"GO:0006401","BP","GO:0006401","RNA catabolic process","10/95","431/17073",0.000141198543034763,0.00546683924228072,0.00478847232900501,"RPS23/RPL9/RPL18/RPL22/LIN28A/RPSA/RPL4/RPL15/RPS7/SET",10,"10-Topic Analysis","Topic k3"
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","8/95","275/17073",0.000148250055666111,0.00552421639430961,0.00483872968844637,"NME4/ATP5MC1/FASN/SCD/ATP5MC2/ELOVL6/UQCC3/AK4",8,"10-Topic Analysis","Topic k3"
"GO:0006066","BP","GO:0006066","alcohol metabolic process","9/95","352/17073",0.000150238775496372,0.00552421639430961,0.00483872968844637,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/ISYNA1/DHCR7",9,"10-Topic Analysis","Topic k3"
"GO:0051348","BP","GO:0051348","negative regulation of transferase activity","8/95","276/17073",0.000151985740214021,0.00552421639430961,0.00483872968844637,"SFRP1/SFRP2/DUSP6/TERF1/HMGCR/RHOH/RPS7/PIF1",8,"10-Topic Analysis","Topic k3"
"GO:0008406","BP","GO:0008406","gonad development","7/95","210/17073",0.000170494143042973,0.0060730013751907,0.00531941726294076,"SFRP1/SFRP2/MGST1/UTF1/NASP/HMGCS1/MSH2",7,"10-Topic Analysis","Topic k3"
"GO:0045137","BP","GO:0045137","development of primary sexual characteristics","7/95","216/17073",0.000202705623996291,0.00682864608557618,0.0059812958413806,"SFRP1/SFRP2/MGST1/UTF1/NASP/HMGCS1/MSH2",7,"10-Topic Analysis","Topic k3"
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","8/95","288/17073",0.000203210692046905,0.00682864608557618,0.0059812958413806,"NME4/ATP5MC1/FASN/SCD/ATP5MC2/ELOVL6/UQCC3/AK4",8,"10-Topic Analysis","Topic k3"
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","8/95","288/17073",0.000203210692046905,0.00682864608557618,0.0059812958413806,"NME4/ATP5MC1/FASN/SCD/ATP5MC2/ELOVL6/UQCC3/AK4",8,"10-Topic Analysis","Topic k3"
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","8/95","292/17073",0.000223149120431472,0.00735978858311947,0.00644653014579808,"NME4/ATP5MC1/FASN/SCD/ATP5MC2/ELOVL6/UQCC3/AK4",8,"10-Topic Analysis","Topic k3"
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","8/95","300/17073",0.000267860327887701,0.00867380443578174,0.00759749293645116,"NME4/ATP5MC1/FASN/SCD/ATP5MC2/ELOVL6/UQCC3/AK4",8,"10-Topic Analysis","Topic k3"
"GO:0045576","BP","GO:0045576","mast cell activation","4/95","57/17073",0.000283533265017618,0.00901737044636388,0.00789842666834792,"PLA2G3/RHOH/CHGA/CHGA",4,"10-Topic Analysis","Topic k3"
"GO:0022626","CC","GO:0022626","cytosolic ribosome","8/95","112/17712",1.5286202136738e-07,2.90437840598022e-05,2.46188308096938e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0044391","CC","GO:0044391","ribosomal subunit","9/95","198/17712",1.16563733346768e-06,0.00011073554667943,9.38644800108184e-05,"RPS23/MRPL57/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",9,"10-Topic Analysis","Topic k3"
"GO:0005840","CC","GO:0005840","ribosome","9/95","243/17712",6.25694209183338e-06,0.000396272999149448,0.00033589899650895,"RPS23/MRPL57/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",9,"10-Topic Analysis","Topic k3"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit","5/95","53/17712",9.3449720977966e-06,0.000443886174645339,0.000376258087095495,"RPL9/RPL18/RPL22/RPL4/RPL15",5,"10-Topic Analysis","Topic k3"
"GO:0015934","CC","GO:0015934","large ribosomal subunit","6/95","109/17712",2.63564975595933e-05,0.00100154690726455,0.000848956658235323,"MRPL57/RPL9/RPL18/RPL22/RPL4/RPL15",6,"10-Topic Analysis","Topic k3"
"GO:0044445","CC","GO:0044445","cytosolic part","8/95","240/17712",4.45776112152248e-05,0.00141162435514879,0.00119655693261919,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0005791","CC","GO:0005791","rough endoplasmic reticulum","5/95","76/17712",5.45907620351352e-05,0.00148174925523938,0.00125599798366552,"RPS23/RPL18/LIN28A/TMEM97/RPL4",5,"10-Topic Analysis","Topic k3"
"GO:0042629","CC","GO:0042629","mast cell granule","3/95","22/17712",0.000213784051089419,0.0050773712133737,0.00430381050219488,"PLA2G3/CHGA/CHGA",3,"10-Topic Analysis","Topic k3"
"GO:0098798","CC","GO:0098798","mitochondrial protein complex","7/95","257/17712",0.000465586670226628,0.0098290519270066,0.00833155094089756,"MRPL57/ATP5MC1/CHCHD10/CHCHD10/NDUFS5/UQCC3/TOMM20",7,"10-Topic Analysis","Topic k3"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","8/91","129/17050",4.33409756700224e-07,0.000109219258688456,0.000104018341608054,"RPS23/MRPL57/RPL9/RPL18/RPL22/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","22/106","231/17073",3.18710709781205e-20,5.45951445855204e-17,4.33782050260103e-17,"TUBB4B/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HSP90AA1/PSMA3/NPM1/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/PSMC5/SKP1/CDK4",22,"10-Topic Analysis","Topic k6"
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","21/106","215/17073",1.46956858151793e-19,1.25868549007011e-16,1.00008009258036e-16,"TUBB4B/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HSP90AA1/PSMA3/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/PSMC5/SKP1/CDK4",21,"10-Topic Analysis","Topic k6"
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","27/106","474/17073",7.01468220407372e-19,4.0053835385261e-16,3.18245055784818e-16,"TUBB4B/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HSP90AA1/PSMA3/NPM1/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/CDC20/PSMC5/PCNA/UBE2C/PRMT1/BUB3/SKP1/CDK4",27,"10-Topic Analysis","Topic k6"
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","26/106","441/17073",1.48334215607632e-18,6.35241278339683e-16,5.04726686264916e-16,"TUBB4B/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HSP90AA1/PSMA3/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/CDC20/PSMC5/PCNA/UBE2C/PRMT1/BUB3/SKP1/CDK4",26,"10-Topic Analysis","Topic k6"
"GO:0044839","BP","GO:0044839","cell cycle G2/M phase transition","22/106","287/17073",3.5561679403843e-18,1.21834313637566e-15,9.68026346719348e-16,"TUBB4B/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HSP90AA1/PSMA3/NPM1/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/PSMC5/SKP1/CDK4",22,"10-Topic Analysis","Topic k6"
"GO:0000086","BP","GO:0000086","G2/M transition of mitotic cell cycle","21/106","269/17073",1.54222626996704e-17,4.40305600075589e-15,3.4984185387147e-15,"TUBB4B/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/HSP90AA1/PSMA3/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/PSMC5/SKP1/CDK4",21,"10-Topic Analysis","Topic k6"
"GO:0031145","BP","GO:0031145","anaphase-promoting complex-dependent catabolic process","14/106","100/17073",1.48274964810514e-15,3.62850021029157e-13,2.88300044360893e-13,"PSMA3/PTTG1/UBE2S/PSMB1/PSMB1/CCNB1/PSMB2/PSMA4/PSMA5/PSMC3/CDC20/PSMC5/UBE2C/BUB3",14,"10-Topic Analysis","Topic k6"
"GO:1903405","BP","GO:1903405","protein localization to nuclear body","7/106","10/17073",3.43719334216343e-14,5.88791219512596e-12,4.67820104359718e-12,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:1904851","BP","GO:1904851","positive regulation of establishment of protein localization to telomere","7/106","10/17073",3.43719334216343e-14,5.88791219512596e-12,4.67820104359718e-12,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:1904867","BP","GO:1904867","protein localization to Cajal body","7/106","10/17073",3.43719334216343e-14,5.88791219512596e-12,4.67820104359718e-12,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0070203","BP","GO:0070203","regulation of establishment of protein localization to telomere","7/106","11/17073",9.40430720245907e-14,1.4645071125284e-11,1.16361427873489e-11,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0070202","BP","GO:0070202","regulation of establishment of protein localization to chromosome","7/106","12/17073",2.24557862381423e-13,2.74762584470983e-11,2.1831076395427e-11,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:1904816","BP","GO:1904816","positive regulation of protein localization to chromosome, telomeric region","7/106","12/17073",2.24557862381423e-13,2.74762584470983e-11,2.1831076395427e-11,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:1990173","BP","GO:1990173","protein localization to nucleoplasm","7/106","12/17073",2.24557862381423e-13,2.74762584470983e-11,2.1831076395427e-11,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:1904814","BP","GO:1904814","regulation of protein localization to chromosome, telomeric region","7/106","13/17073",4.84072764677022e-13,5.52811097261159e-11,4.39232340159572e-11,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0006403","BP","GO:0006403","RNA localization","16/106","226/17073",6.70943016968593e-13,7.18328367542e-11,5.70742974302889e-11,"HNRNPA2B1/CCT5/CCT8/RAN/CCT3/RTRAF/CCT4/DDX39A/MAGOHB/NUP37/SRRM1/TCP1/SRSF3/ALYREF/CCT7/CCT2",16,"10-Topic Analysis","Topic k6"
"GO:2000573","BP","GO:2000573","positive regulation of DNA biosynthetic process","11/106","77/17073",1.47677329249532e-12,1.48806626473205e-10,1.18233304470369e-10,"HSP90AB1/HSP90AA1/HNRNPA2B1/CCT5/CCT8/PTGES3/CCT3/CCT4/TCP1/CCT7/CCT2",11,"10-Topic Analysis","Topic k6"
"GO:0071897","BP","GO:0071897","DNA biosynthetic process","15/106","200/17073",1.61226403061655e-12,1.53433793580342e-10,1.21909788981708e-10,"HSP90AB1/HSP90AA1/TYMS/HNRNPA2B1/CCT5/CCT8/PTGES3/CCT3/CCT4/TK1/PHB/PCNA/TCP1/CCT7/CCT2",15,"10-Topic Analysis","Topic k6"
"GO:0010833","BP","GO:0010833","telomere maintenance via telomere lengthening","11/106","82/17073",3.01655130428815e-12,2.592559264269e-10,2.05990053074005e-10,"HSP90AB1/HSP90AA1/HNRNPA2B1/CCT5/CCT8/PTGES3/CCT3/CCT4/TCP1/CCT7/CCT2",11,"10-Topic Analysis","Topic k6"
"GO:0070200","BP","GO:0070200","establishment of protein localization to telomere","7/106","16/17073",3.17826880032977e-12,2.592559264269e-10,2.05990053074005e-10,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:1904874","BP","GO:1904874","positive regulation of telomerase RNA localization to Cajal body","7/106","16/17073",3.17826880032977e-12,2.592559264269e-10,2.05990053074005e-10,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0007004","BP","GO:0007004","telomere maintenance via telomerase","10/106","71/17073",1.85983348856439e-11,1.44813398450491e-09,1.15060511995874e-09,"HSP90AB1/HSP90AA1/CCT5/CCT8/PTGES3/CCT3/CCT4/TCP1/CCT7/CCT2",10,"10-Topic Analysis","Topic k6"
"GO:1904872","BP","GO:1904872","regulation of telomerase RNA localization to Cajal body","7/106","20/17073",2.1102841216541e-11,1.57170291321455e-09,1.24878598137242e-09,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0006278","BP","GO:0006278","RNA-dependent DNA biosynthetic process","10/106","73/17073",2.47708275450922e-11,1.74766789678515e-09,1.38859777585842e-09,"HSP90AB1/HSP90AA1/CCT5/CCT8/PTGES3/CCT3/CCT4/TCP1/CCT7/CCT2",10,"10-Topic Analysis","Topic k6"
"GO:0006457","BP","GO:0006457","protein folding","14/106","201/17073",2.5505952959503e-11,1.74766789678515e-09,1.38859777585842e-09,"HSP90AA1/HSPA8/CCT5/CCT8/PTGES3/CCT3/DNAJA1/CCT4/PDCL3/VBP1/TCP1/CCT7/HSP90B1/CCT2",14,"10-Topic Analysis","Topic k6"
"GO:0070199","BP","GO:0070199","establishment of protein localization to chromosome","7/106","21/17073",3.14936500683613e-11,1.79828741890343e-09,1.42881717678565e-09,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0090670","BP","GO:0090670","RNA localization to Cajal body","7/106","21/17073",3.14936500683613e-11,1.79828741890343e-09,1.42881717678565e-09,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0090671","BP","GO:0090671","telomerase RNA localization to Cajal body","7/106","21/17073",3.14936500683613e-11,1.79828741890343e-09,1.42881717678565e-09,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0090672","BP","GO:0090672","telomerase RNA localization","7/106","21/17073",3.14936500683613e-11,1.79828741890343e-09,1.42881717678565e-09,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0090685","BP","GO:0090685","RNA localization to nucleus","7/106","21/17073",3.14936500683613e-11,1.79828741890343e-09,1.42881717678565e-09,"CCT5/CCT8/CCT3/CCT4/TCP1/CCT7/CCT2",7,"10-Topic Analysis","Topic k6"
"GO:0007051","BP","GO:0007051","spindle organization","13/106","172/17073",4.92596831223707e-11,2.72199474802003e-09,2.16274262401444e-09,"TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/STMN1/RAN/CCNB1/CDC20/KIF23",13,"10-Topic Analysis","Topic k6"
